id,t,dt,ax,ay,az,gx,gy,gz,mx,my,mz
-1,119,119,119.0,119.0,119.0,119.0,20.0,20.0,20.0,13:16:32,
0,46714,4,21.85,-425.54,886.47,42.11,2.44,8.54,35.35,29.48,-16.33
1,46725,4,-14.77,-989.26,182.86,74.46,18.92,25.02,0.17,45.02,-20.58
2,46735,4,-140.26,-1009.28,-18.31,-119.02,45.78,55.54,-17.91,45.48,-5.76
3,46745,0,0.0,,,,,,,,
4,46747,0,0.29383000000000004,,,,,,,,
5,46748,1,1.587301,,,,,,,,
6,46750,0,0.29383000000000004,,,,,,,,
0,46754,4,23.19,-440.92,886.84,49.44,13.43,15.87,34.8,30.46,-17.81
1,46769,3,-8.3,-987.43,187.26,72.02,18.92,15.87,0.17,45.02,-20.58
2,46778,4,-124.51,-1011.11,-8.91,-147.71,36.62,58.59,-17.85,45.76,-6.29
3,46788,0,0.0,,,,,,,,
4,46789,1,0.195695,,,,,,,,
5,46791,0,1.48662,,,,,,,,
6,46793,0,0.29383000000000004,,,,,,,,
0,46796,5,44.56,-432.37,887.7,49.44,9.77,11.6,34.84,29.90,-16.72
1,46808,4,-20.39,-995.97,190.31,61.65,23.19,34.79,0.84,45.19,-20.75
2,46818,4,-129.64,-1016.97,-2.69,-194.09,-5.49,78.74,-17.22,46.15,-7.15
3,46828,0,0.0,,,,,,,,
4,46829,1,0.29383000000000004,,,,,,,,
5,46835,0,1.6881830000000002,,,,,,,,
6,46837,0,0.29383000000000004,,,,,,,,
0,46840,5,21.24,-445.19,888.18,56.76,-9.77,-6.1,35.19,30.43,-16.0
1,46851,5,-8.91,-990.23,191.41,48.83,28.08,59.2,0.63,45.06,-21.42
2,46862,4,-132.57,-1015.75,35.64,-224.61,-26.25,95.21,-16.91,45.72,-8.18
3,46872,0,0.0,,,,,,,,
4,46873,0,0.195695,,,,,,,,
5,46875,0,1.587301,,,,,,,,
6,46877,0,0.39215700000000003,,,,,,,,
0,46880,5,11.23,-443.73,881.1,59.81,-7.93,-5.49,34.09,30.53,-17.68
1,46891,5,5.37,-1000.49,195.43,46.39,31.74,57.37,0.68,44.68,-21.41
2,46902,4,-92.41,-1032.96,26.25,-256.96,72.63,113.53,-16.28,46.30,-9.16
3,46915,0,0.0,,,,,,,,
4,46917,0,0.195695,,,,,,,,
5,46919,0,1.587301,,,,,,,,
6,46920,1,0.39215700000000003,,,,,,,,
0,46924,4,6.71,-435.91,892.94,85.45,23.19,5.49,33.78,31.13,-17.05
1,46935,4,7.81,-1018.19,202.15,17.7,31.74,24.41,0.67,44.76,-19.84
2,46945,4,-80.57,-1060.42,43.58,-324.71,82.4,133.67,-16.28,46.30,-9.16
3,46954,0,0.0,,,,,,,,
4,46956,0,0.195695,,,,,,,,
5,46957,1,1.6881830000000002,,,,,,,,
6,46959,0,0.39215700000000003,,,,,,,,
0,46963,3,8.54,-428.59,915.77,133.67,67.75,0.0,33.78,31.13,-17.05
