id,t,dt,ax,ay,az,gx,gy,gz,mx,my,mz
-1,119,119,119.0,119.0,119.0,119.0,20.0,20.0,20.0,15:35:20,04 21 2021
0,32438,4,227.54,-256.96,894.41,705.57,-216.06,-153.81,23.84,39.75,-28.98
1,32450,4,160.28,-12.33,956.42,-333.25,-955.81,113.53,7.26,26.28,-28.33
2,32462,4,578.37,-128.17,855.96,90.33,-313.72,-136.11,-6.34,56.08,-31.63
3,32474,0,0.0,,,,,,,,
4,32476,0,0.0,,,,,,,,
5,32478,0,0.0,,,,,,,,
6,32479,0,0.0,,,,,,,,
0,32483,3,61.16,-239.26,928.71,798.95,-334.47,-117.8,23.84,39.75,-28.98
1,32493,5,192.14,78.74,1065.55,-296.63,-927.73,172.73,4.47,24.74,-29.17
2,32517,5,496.7,-1.95,971.56,211.18,-482.18,288.7,-8.23,56.57,-32.52
3,32529,0,0.0,,,,,,,,
4,32531,0,0.0,,,,,,,,
5,32532,0,0.0,,,,,,,,
6,32534,0,0.0,,,,,,,,
0,32537,5,60.42,-652.1,1036.01,1094.97,-188.6,-232.54,20.95,46.58,-28.55
1,32549,6,-92.9,12.82,980.35,-68.36,-884.4,103.76,0.54,22.80,-28.93
2,32562,4,365.11,-244.14,1063.35,281.98,-578.0,179.44,-9.61,57.30,-32.90
3,32574,0,0.0,,,,,,,,
4,32575,0,0.0,,,,,,,,
5,32582,0,0.0,,,,,,,,
6,32583,0,0.0,,,,,,,,
0,32587,4,187.38,-808.23,957.89,634.16,-350.95,-285.03,19.91,48.91,-27.05
1,32600,4,-60.42,231.93,968.63,-242.31,-264.28,34.18,-3.48,22.63,-29.22
2,32612,4,-64.33,-208.01,1095.58,224.61,-629.27,310.67,-10.85,58.44,-32.28
3,32623,0,0.0,,,,,,,,
4,32625,0,0.0,,,,,,,,
5,32627,0,0.0,,,,,,,,
6,32628,0,0.0,,,,,,,,
0,32632,3,-9.89,-538.45,927.49,191.04,-114.75,-57.98,19.91,48.91,-27.05
1,32644,4,-9.64,155.52,1025.15,-15.26,-69.58,17.7,-4.47,21.90,-30.60
2,32660,3,261.84,187.26,918.95,292.36,-598.14,-34.18,-10.85,58.44,-32.28
3,32671,0,0.0,,,,,,,,
4,32672,0,0.0,,,,,,,,
5,32674,0,0.0,,,,,,,,
6,32676,0,0.0,,,,,,,,
0,32679,5,63.6,-491.94,861.94,119.02,-13.43,23.8,19.07,49.85,-27.58
1,32692,4,-20.75,135.5,1019.29,37.23,-59.2,20.14,-4.43,21.46,-29.47
2,32704,4,108.28,-448.0,959.11,283.2,-484.62,122.07,-14.06,59.44,-32.40
3,32715,0,0.0,,,,,,,,
4,32717,0,0.0,,,,,,,,
5,32718,1,0.0,,,,,,,,
6,32726,0,0.0,,,,,,,,
0,32729,5,84.35,-502.2,873.41,75.07,-4.88,47.0,19.18,50.23,-27.28
1,32741,4,-15.01,106.45,1035.28,20.14,-28.69,15.26,-4.76,21.68,-29.43
2,32753,4,158.57,-67.99,946.78,181.27,-405.27,-277.1,-15.21,60.73,-31.84
3,32764,0,0.0,,,,,,,,
4,32766,0,0.0,,,,,,,,
5,32769,0,0.0,,,,,,,,
6,32770,0,0.0,,,,,,,,
0,32774,4,89.97,-495.97,853.27,24.41,-95.83,-23.8,19.08,50.74,-27.88
1,32785,5,-15.87,107.18,1025.88,-32.96,-47.0,12.21,-5.37,21.85,-29.58
2,32802,4,68.97,-212.04,942.75,191.65,-432.74,152.59,-17.86,60.29,-32.26
3,32815,0,0.097752,,,,,,,,
4,32816,1,0.0,,,,,,,,
5,32818,0,0.0,,,,,,,,
6,32820,0,0.0,,,,,,,,
0,32823,4,30.15,-485.72,881.84,-26.25,-109.86,-18.31,18.47,50.84,-27.08
1,32835,4,-18.07,121.7,1050.42,-33.57,-47.61,6.71,-5.46,21.42,-29.49
2,32847,4,66.89,-172.49,968.99,232.54,-387.57,131.23,-19.06,61.71,-31.58
3,32859,1,0.097752,,,,,,,,
4,32861,0,0.0,,,,,,,,
5,32863,0,0.0,,,,,,,,
6,32864,1,0.0,,,,,,,,
0,32873,4,53.34,-472.41,873.29,5.49,-100.71,-32.96,18.29,50.54,-27.49
1,32884,5,-38.82,142.46,1025.39,-57.37,-65.92,6.71,-5.46,21.13,-29.50
2,32897,5,-146.97,-262.57,946.9,209.35,-234.38,57.37,-20.06,62.61,-31.52
3,32909,0,0.097752,,,,,,,,
4,32911,0,0.0,,,,,,,,
5,32912,0,0.0,,,,,,,,
6,32914,0,0.0,,,,,,,,
0,32917,5,-5.62,-487.43,886.6,37.84,-13.43,4.27,17.49,50.70,-28.27
1,32929,4,-36.38,142.46,1041.63,4.27,-26.86,17.7,-6.04,20.75,-29.63
2,32942,4,-95.34,-397.34,974.0,189.82,1.22,37.84,-20.73,63.05,-30.21
3,32958,0,0.0,,,,,,,,
4,32960,0,0.0,,,,,,,,
5,32961,0,0.0,,,,,,,,
6,32963,0,0.0,,,,,,,,
0,32966,5,4.27,-410.28,896.36,100.1,97.05,9.77,17.3,50.79,-27.86
1,32978,5,-25.27,119.14,1048.71,25.63,-4.88,22.58,-6.36,21.42,-28.98
2,32991,4,44.31,-359.99,978.15,140.38,6.71,-278.32,-20.86,63.48,-30.47
3,33002,0,0.0,,,,,,,,
4,33004,0,0.0,,,,,,,,
5,33005,1,0.0,,,,,,,,
6,33007,0,0.097752,,,,,,,,
0,33011,4,40.04,-483.28,864.14,191.04,122.07,-11.6,18.69,50.57,-27.60
1,33028,5,-21.36,124.02,1061.89,-11.6,-25.02,30.52,-5.93,21.01,-29.70
2,33040,4,32.59,-237.43,1032.59,101.32,-156.86,-508.42,-22.3,64.22,-30.09
3,33052,0,0.0,,,,,,,,
4,33053,0,0.0,,,,,,,,
5,33055,0,0.0,,,,,,,,
6,33057,0,0.097752,,,,,,,,
0,33060,5,2.44,-425.78,868.29,313.72,271.0,0.61,18.88,50.50,-28.33
1,33073,4,-34.55,131.23,1036.25,32.35,-17.7,34.79,-6.31,21.13,-29.36
2,33085,4,21.36,-234.01,982.06,76.9,-278.32,-430.3,-24.68,64.75,-29.82
3,33101,0,0.0,,,,,,,,
4,33103,0,0.0,,,,,,,,
5,33104,0,0.29383,,,,,,,,
6,33106,0,0.097752,,,,,,,,
0,33111,4,109.86,-533.69,843.99,203.25,145.87,1.83,20.19,50.54,-25.92
1,33122,5,-39.92,132.93,1058.35,12.21,-72.63,19.53,-6.45,21.40,-30.41
2,33134,5,-40.04,-256.59,975.95,70.19,-383.3,-251.46,-26.46,65.05,-28.67
3,33146,0,0.0,,,,,,,,
4,33148,0,0.0,,,,,,,,
5,33149,0,0.392157,,,,,,,,
6,33152,0,0.097752,,,,,,,,
0,33155,5,73.61,-522.71,849.24,177.61,70.8,-34.18,20.75,51.16,-26.11
1,33172,4,-22.34,156.86,1130.62,92.16,-168.46,6.1,-6.21,21.61,-28.82
2,33184,4,-195.56,-294.43,972.41,60.42,-350.34,-147.71,-28.83,64.47,-28.65
3,33196,1,0.0,,,,,,,,
4,33198,0,0.0,,,,,,,,
5,33200,0,0.490677,,,,,,,,
6,33202,0,0.29383,,,,,,,,
0,33205,5,69.95,-571.17,836.55,178.83,27.47,-14.65,20.64,52.12,-24.35
