id,t,dt,ax,ay,az,gx,gy,gz,mx,my,mz
-1,119,119,119.0,119.0,119.0,119.0,20.0,20.0,20.0,15:02:15,04 21 2021
0,9497,4,20.51,-691.16,720.7,40.89,20.75,4.88,-2.87,64.09,-10.99
1,9508,5,-19.78,133.06,1032.1,14.65,2.44,14.65,-13.85,1.29,-20.41
2,9521,4,-133.06,-111.82,982.42,22.58,15.87,-10.99,-38.39,27.64,-25.09
3,9533,0,0.0,,,,,,,,
4,9534,0,0.0,,,,,,,,
5,9536,0,0.490677,,,,,,,,
6,9538,0,0.886699,,,,,,,,
0,9541,5,21.48,-691.53,722.17,41.5,19.53,6.71,-2.76,64.00,-11.25
1,9553,5,-19.65,132.81,1031.86,14.04,1.83,15.26,-14.25,0.54,-20.68
2,9570,5,-134.52,-108.76,981.93,19.53,16.48,-11.6,-38.66,27.16,-25.32
3,9582,0,0.0,,,,,,,,
4,9583,0,0.0,,,,,,,,
5,9585,0,0.589391,,,,,,,,
6,9587,0,0.986193,,,,,,,,
0,9590,5,20.14,-691.41,721.07,38.45,19.53,4.27,-3.1,63.49,-11.38
1,9603,4,-19.41,133.54,1032.47,15.26,1.22,15.26,-13.73,0.85,-22.22
2,9615,3,-132.93,-109.99,982.54,17.7,19.53,-7.93,-38.66,27.16,-25.32
3,9625,0,0.0,,,,,,,,
4,9627,0,0.0,,,,,,,,
5,9628,1,0.490677,,,,,,,,
6,9630,0,0.886699,,,,,,,,
0,9634,4,20.87,-689.58,721.56,39.06,18.31,5.49,-2.73,63.77,-10.94
1,9651,4,-20.51,132.2,1031.01,14.04,0.61,17.09,-14.64,0.21,-21.31
2,9663,4,-131.96,-101.44,983.15,21.36,17.09,-15.26,-38.24,27.06,-24.73
3,9674,0,0.0,,,,,,,,
4,9676,0,0.0,,,,,,,,
5,9677,1,0.490677,,,,,,,,
6,9679,0,0.986193,,,,,,,,
0,9683,5,21.61,-691.16,720.7,42.11,19.53,4.88,-3.27,64.00,-11.54
1,9695,5,-19.9,132.93,1032.47,16.48,3.05,15.87,-14.07,0.46,-20.58
2,9707,5,-135.01,-106.45,982.79,25.63,18.92,-10.99,-38.26,27.06,-25.98
3,9723,0,0.0,,,,,,,,
4,9725,0,0.0,,,,,,,,
5,9728,0,0.589391,,,,,,,,
6,9729,1,0.886699,,,,,,,,
0,9733,4,21.0,-690.8,722.41,39.67,18.92,4.88,-2.83,63.87,-11.54
1,9744,5,-20.02,133.06,1032.35,16.48,1.22,15.26,-14.11,0.11,-21.55
2,9756,5,-135.13,-102.54,982.18,28.69,20.75,-18.31,-38.51,26.64,-25.62
3,9768,0,0.0,,,,,,,,
4,9769,0,0.0,,,,,,,,
5,9772,0,0.490677,,,,,,,,
6,9774,0,0.986193,,,,,,,,
0,9777,4,20.39,-690.67,720.09,40.28,19.53,5.49,-2.83,63.87,-11.54
1,9788,4,-19.29,132.81,1031.86,14.04,1.22,16.48,-14.06,0.82,-20.74
