id,t,dt,ax,ay,az,gx,gy,gz,mx,my,mz
-1,119,119,119.0,119.0,119.0,119.0,20.0,20.0,20.0,14:18:02,04 21 2021
0,203320,4,57.86,-511.47,848.75,32.96,-4.27,-31.13,20.42,51.07,-19.97
1,203331,5,-15.38,112.55,1043.7,-3.66,-10.99,17.7,-4.04,29.19,-20.91
2,203343,5,97.29,-118.41,1006.1,-49.44,-198.97,-65.31,-20.42,61.82,-23.27
3,203367,0,10.702703,,,,,,,,
4,203369,0,0.589391,,,,,,,,
5,203371,0,15.575621,,,,,,,,
6,203373,0,10.942579,,,,,,,,
0,203376,5,68.73,-512.7,847.78,37.23,-8.54,-18.31,20.0,51.00,-21.01
1,203388,5,-10.99,104.0,1046.39,3.66,-13.43,15.87,-4.14,28.98,-21.51
2,203401,4,104.49,-133.79,997.19,-54.93,-300.9,-3.05,-22.09,61.28,-22.38
3,203412,1,10.583153,,,,,,,,
4,203414,1,0.589391,,,,,,,,
5,203416,0,15.445322,,,,,,,,
6,203418,0,10.942579,,,,,,,,
0,203422,3,39.43,-509.28,848.75,30.52,-33.57,-19.53,20.0,51.00,-21.01
1,203465,4,-2.44,99.61,1079.47,6.1,-30.52,18.92,-4.13,28.85,-21.33
2,203476,6,125.85,-232.79,1057.86,-90.33,-601.81,-3.66,-23.13,61.52,-23.11
3,203489,0,10.22605,,,,,,,,
4,203491,0,0.589391,,,,,,,,
5,203493,0,15.575621,,,,,,,,
6,203494,1,11.062907,,,,,,,,
0,203498,4,61.52,-480.1,859.74,89.72,-49.44,-25.63,18.73,52.12,-20.36
1,203510,4,6.47,55.54,1140.5,-52.49,-75.68,28.69,-3.83,28.69,-20.86
2,203523,4,-88.5,-179.57,1099.73,-112.3,-814.82,-62.26,-25.77,60.34,-23.28
3,203551,0,10.702703,,,,,,,,
4,203553,0,0.589391,,,,,,,,
5,203555,0,15.968292,,,,,,,,
6,203556,1,11.912569,,,,,,,,
0,203560,5,-1.59,-411.62,1006.1,427.25,-46.39,-108.03,18.07,53.25,-20.30
1,203573,4,130.62,359.62,1641.6,-61.65,-622.56,62.26,-4.96,28.10,-21.91
2,203585,4,-75.07,-76.66,1428.22,-75.68,-784.3,-288.09,-27.69,60.25,-22.86
3,203597,0,9.635974,,,,,,,,
4,203598,1,0.490677,,,,,,,,
5,203600,1,16.099773,,,,,,,,
6,203602,0,12.280701,,,,,,,,
0,203607,4,-29.3,-443.24,1069.21,1071.17,28.08,-90.94,17.26,54.60,-19.95
1,203623,5,125.12,175.78,1724.37,35.4,-1312.87,119.63,-6.65,27.86,-20.91
2,203635,5,38.57,-108.89,1436.16,-84.23,-874.63,-434.57,-31.16,59.68,-21.61
3,203648,0,7.112971,,,,,,,,
4,203650,0,0.29383,,,,,,,,
5,203652,0,15.837104,,,,,,,,
6,203654,0,12.403952,,,,,,,,
0,203657,5,149.66,-599.12,933.11,1894.53,78.12,-175.78,16.96,57.09,-16.92
1,203669,5,65.8,-53.34,1465.21,64.7,-1877.44,57.98,-10.33,27.31,-19.63
2,203686,5,-180.05,-71.78,930.05,-44.56,-820.92,-192.87,-34.69,58.59,-21.86
3,203699,0,6.444907,,,,,,,,
4,203700,1,0.097752,,,,,,,,
5,203702,0,14.669653,,,,,,,,
6,203704,0,11.668485,,,,,,,,
0,203708,4,-86.18,-1146.73,705.93,1983.64,220.95,-531.01,17.38,60.13,-11.08
1,203720,4,-33.69,-225.46,-95.34,164.18,-1752.32,-68.97,-16.97,26.72,-17.99
2,203732,5,-187.13,-85.45,406.25,0.0,-601.81,-6.71,-36.84,58.08,-22.12
3,203744,0,7.001046,,,,,,,,
4,203746,0,0.097752,,,,,,,,
5,203748,0,13.5255,,,,,,,,
6,203750,0,10.344828,,,,,,,,
0,203758,4,405.76,153.69,1316.53,158.08,146.48,162.35,16.25,61.90,-5.83
1,203770,4,1078.61,69.09,-85.69,239.26,388.79,245.97,-21.04,26.67,-15.10
2,203783,4,551.51,120.48,95.34,51.27,600.59,-148.93,-37.43,57.59,-20.85
3,203794,1,6.777893,,,,,,,,
4,203796,0,0.097752,,,,,,,,
5,203798,0,13.39978,,,,,,,,
6,203800,0,9.753483,,,,,,,,
0,203804,4,-13.92,191.65,1137.57,-944.21,102.54,457.76,16.87,62.06,-6.45
1,203815,6,813.11,-36.62,660.28,216.06,1271.97,-7.93,-20.62,27.37,-14.53
2,203833,4,380.98,84.59,585.94,112.92,1547.24,195.92,-35.73,57.50,-21.80
3,203845,0,6.555671,,,,,,,,
4,203846,1,0.097752,,,,,,,,
5,203848,0,12.899668,,,,,,,,
6,203850,0,9.518717,,,,,,,,
0,203854,4,73.73,-888.06,1231.45,-1464.84,297.24,317.99,18.41,61.32,-11.35
1,203867,4,237.43,195.56,1192.14,170.29,1901.25,-220.34,-17.64,26.75,-17.97
2,203879,4,44.56,-183.35,1095.83,-10.38,2020.87,119.02,-30.86,57.50,-25.33
3,203890,1,6.444907,,,,,,,,
4,203892,0,0.097752,,,,,,,,
5,203894,0,12.651266,,,,,,,,
6,203896,0,9.401709,,,,,,,,
0,203905,5,266.24,-1085.33,1015.75,-1708.37,330.2,326.54,19.79,57.82,-16.33
1,203917,5,-247.44,-72.27,1823.97,213.62,1761.47,-249.02,-12.81,26.37,-22.08
2,203929,5,117.8,-61.16,1368.9,47.0,2109.37,-32.96,-24.02,57.75,-27.64
3,203941,0,6.224066,,,,,,,,
4,203943,0,0.0,,,,,,,,
5,203945,0,12.527473,,,,,,,,
6,203947,1,9.401709,,,,,,,,
0,203951,4,141.36,-1153.08,962.04,-1253.05,294.19,254.52,20.69,53.98,-20.97
1,203963,4,-586.18,159.06,1374.02,573.12,1291.5,-179.44,-7.62,26.23,-24.68
2,203980,4,7.08,-217.9,1506.1,275.88,1757.2,296.63,-17.21,57.48,-28.50
3,203992,1,6.113989,,,,,,,,
4,203994,0,0.0,,,,,,,,
5,203996,0,12.527473,,,,,,,,
6,203998,0,9.401709,,,,,,,,
0,204001,5,95.58,-997.44,688.6,-1199.95,202.03,648.8,23.45,48.84,-24.19
1,204013,5,-493.53,140.99,1356.2,179.44,1242.68,304.57,-2.76,28.48,-26.60
2,204025,5,41.38,-116.21,1240.11,72.63,1168.21,355.22,-10.94,57.95,-27.37
3,204038,0,6.004141,,,,,,,,
4,204040,0,0.0,,,,,,,,
5,204041,1,12.527473,,,,,,,,
6,204048,0,9.635974,,,,,,,,
0,204052,4,-64.09,-736.57,513.43,-869.14,-152.59,339.97,24.72,44.26,-27.03
1,204064,4,-322.27,-241.21,1102.42,100.1,844.12,12.21,3.22,28.82,-27.47
2,204077,4,115.84,-327.03,1016.24,231.93,684.2,219.73,-7.28,57.64,-26.28
3,204088,0,6.004141,,,,,,,,
4,204090,0,0.0,,,,,,,,
5,204092,0,12.403952,,,,,,,,
6,204094,0,9.871245,,,,,,,,
0,204097,5,64.45,-664.18,605.71,-690.31,366.21,47.0,25.39,40.56,-26.71
1,204109,4,-153.44,122.8,1115.23,139.77,669.56,-288.09,6.79,28.98,-27.33
2,204127,4,149.78,35.28,982.79,139.77,329.59,-288.09,-5.75,57.86,-25.66
3,204138,0,6.004141,,,,,,,,
4,204140,0,0.0,,,,,,,,
5,204142,0,12.403952,,,,,,,,
6,204144,0,9.98926,,,,,,,,
0,204147,5,3.05,-422.49,237.67,-157.47,217.29,-229.49,25.92,39.12,-26.28
1,204160,4,-459.35,284.55,1229.74,-363.16,-535.28,-80.57,8.39,29.92,-26.81
