id,t,dt,ax,ay,az,gx,gy,gz,mx,my,mz
-1,119,119,119.0,119.0,119.0,119.0,20.0,20.0,20.0,13:56:05,04 07 2021
0,284397,4,-62.99,-540.04,844.12,5.49,-97.66,72.02,38.61,39.44,-15.83
1,284409,4,-188.48,-952.76,86.43,-303.96,-164.79,-4.88,-21.14,45.37,-5.91
2,284432,5,138.67,-931.15,278.44,65.92,29.91,54.32,-4.74,49.49,-23.18
3,284444,0,0.589391,,,,,,,,
4,284446,0,0.0,,,,,,,,
5,284448,0,5.241521,,,,,,,,
6,284449,1,2.605211,,,,,,,,
0,284453,4,-95.46,-508.79,857.91,-20.75,-101.93,37.23,37.66,39.38,-15.70
1,284466,4,-52.49,-1044.56,34.55,-229.49,-99.49,-26.25,-21.44,44.92,-6.43
2,284478,4,138.06,-990.84,282.1,62.26,19.53,39.67,-4.53,49.28,-24.15
3,284489,1,0.589391,,,,,,,,
4,284491,0,0.0,,,,,,,,
5,284493,0,5.241521,,,,,,,,
6,284495,0,2.708124,,,,,,,,
0,284504,4,-43.33,-535.89,841.19,64.09,-33.57,-7.32,37.17,39.22,-15.15
1,284516,4,-38.94,-972.05,98.02,-202.64,256.35,10.38,-21.2,44.70,-7.19
2,284528,4,180.54,-913.82,280.15,53.1,31.74,83.01,-4.54,49.55,-24.22
3,284539,0,0.589391,,,,,,,,
4,284541,0,0.0,,,,,,,,
5,284544,0,5.241521,,,,,,,,
6,284546,0,2.811245,,,,,,,,
0,284549,5,-31.01,-509.16,840.82,41.5,-21.36,2.44,37.38,39.45,-16.66
1,284561,4,-74.22,-1014.65,101.32,-194.7,40.89,8.54,-20.89,44.78,-8.20
2,284573,4,150.76,-980.1,289.79,40.89,24.41,84.23,-4.09,50.73,-24.43
3,284590,0,0.589391,,,,,,,,
4,284592,0,0.0,,,,,,,,
5,284594,0,5.241521,,,,,,,,
6,284595,1,2.811245,,,,,,,,
0,284599,4,-122.56,-535.52,841.67,61.04,-39.67,-1.22,37.13,39.42,-15.36
1,284611,4,11.23,-990.72,144.29,-100.1,30.52,-9.77,-20.86,44.62,-9.59
2,284623,4,158.81,-953.61,290.77,53.71,10.99,54.93,-4.03,50.55,-24.08
3,284635,1,0.49067700000000003,,,,,,,,
4,284637,0,0.0,,,,,,,,
5,284639,0,5.241521,,,,,,,,
6,284641,0,2.914573,,,,,,,,
0,284644,5,-52.49,-530.03,845.95,75.68,-18.31,0.0,36.24,40.00,-16.78
1,284661,4,-7.32,-1015.63,78.61,-80.57,83.01,-15.87,-20.42,44.63,-10.10
2,284674,4,184.81,-951.17,292.72,50.66,12.21,80.57,-3.97,50.68,-24.17
3,284685,0,0.589391,,,,,,,,
4,284687,0,0.0,,,,,,,,
5,284689,0,5.349794,,,,,,,,
6,284690,1,3.018109,,,,,,,,
0,284694,4,-28.81,-522.83,836.3,98.27,-16.48,-146.48,35.99,40.78,-16.44
1,284706,4,-145.02,-1022.95,94.36,-159.3,30.52,18.31,-20.65,44.78,-11.38
2,284719,3,154.79,-978.03,304.69,6.71,35.4,142.82,-3.97,50.68,-24.17
3,284734,0,0.589391,,,,,,,,
4,284736,0,0.0,,,,,,,,
5,284738,0,5.349794,,,,,,,,
6,284739,1,3.225806,,,,,,,,
0,284743,4,-63.11,-541.02,838.62,121.46,-90.94,-41.5,36.01,41.53,-15.99
1,284755,5,-51.27,-1031.62,139.89,-159.91,173.34,45.78,-20.57,44.51,-12.84
2,284768,4,271.12,-1000.0,321.53,-48.22,30.52,190.43,-3.45,50.61,-25.02
3,284780,0,0.589391,,,,,,,,
4,284781,1,0.0,,,,,,,,
5,284783,0,5.241521,,,,,,,,
6,284785,0,3.225806,,,,,,,,
0,284789,4,-96.19,-533.57,861.21,211.18,-42.72,-28.69,34.31,42.32,-15.60
1,284806,5,-65.67,-1047.0,100.95,-239.26,186.77,36.01,-20.41,43.82,-13.73
2,284818,5,246.95,-966.8,328.49,-142.21,-10.99,44.56,-2.59,50.52,-24.32
3,284830,0,0.589391,,,,,,,,
4,284832,0,0.0,,,,,,,,
5,284833,1,5.349794,,,,,,,,
6,284835,0,3.434343,,,,,,,,
0,284839,5,-104.25,-549.68,821.78,273.44,-28.69,-21.97,34.16,42.81,-14.99
1,284852,4,-71.41,-1045.04,131.35,-339.36,228.88,91.55,-19.84,44.12,-15.14
2,284864,4,174.32,-981.93,346.92,-195.92,-36.01,14.65,-1.99,50.27,-26.73
3,284880,0,0.589391,,,,,,,,
4,284882,0,0.0,,,,,,,,
5,284884,0,5.241521,,,,,,,,
6,284886,1,3.538928,,,,,,,,
0,284890,4,-18.68,-586.43,806.15,347.29,-79.96,-75.68,34.5,43.15,-13.90
1,284902,4,-148.68,-1044.19,180.05,-459.59,217.9,184.33,-18.6,43.55,-17.42
2,284914,4,252.32,-1048.58,392.7,-314.33,45.78,155.64,-1.77,49.94,-27.56
3,284926,0,0.49067700000000003,,,,,,,,
4,284929,0,0.0,,,,,,,,
5,284930,0,5.13347,,,,,,,,
6,284932,0,3.748734,,,,,,,,
