id,t,dt,ax,ay,az,gx,gy,gz,mx,my,mz
-1,119,119,119.0,119.0,119.0,119.0,20.0,20.0,20.0,14:37:54,04 07 2021
0,65227,4,42.48,-465.94,485.6,-733.03,-80.57,632.32,40.81,37.24,-5.80
1,65240,4,192.14,-1230.83,606.32,609.13,-487.67,173.95,-8.58,45.39,-14.81
2,65251,5,70.43,-1123.9,94.97,568.85,-842.9,-12.82,-16.97,45.13,4.04
3,65274,0,8.820405000000001,,,,,,,,
4,65276,0,0.0,,,,,,,,
5,65277,1,0.0,,,,,,,,
6,65280,0,0.0,,,,,,,,
0,65283,5,-185.42,-912.35,363.89,159.91,-717.77,451.66,41.8,34.06,-8.18
1,65295,5,-466.92,-781.49,782.96,-85.45,-518.19,375.37,-5.68,46.62,-7.73
2,65307,5,-413.7,-1129.88,383.54,-119.63,-382.08,-109.25,-12.59,44.97,8.90
3,65319,0,9.168444000000001,,,,,,,,
4,65321,0,0.0,,,,,,,,
5,65323,1,0.0,,,,,,,,
6,65325,0,0.0,,,,,,,,
0,65328,5,-318.73,-903.81,-193.36,507.2,-119.02,-263.06,40.53,33.64,-9.23
1,65372,5,126.59,-1298.58,-140.5,-1132.81,281.98,308.23,-5.13,45.52,-12.73
2,65384,5,-91.55,-1169.43,-326.66,-591.43,455.32,-28.08,-16.56,44.75,6.31
3,65396,0,10.822511,,,,,,,,
4,65398,0,0.39215700000000003,,,,,,,,
5,65400,0,0.0,,,,,,,,
6,65401,1,0.0,,,,,,,,
0,65405,5,96.31,-1068.24,1047.12,640.26,-382.69,-158.69,35.86,40.31,-7.39
1,65418,4,-1.34,-979.86,185.3,-541.99,-23.19,276.49,-2.98,44.36,-16.88
2,65430,4,364.14,-924.8,-170.41,-842.9,115.36,-79.96,-15.11,45.07,3.00
3,65464,0,12.775331,,,,,,,,
4,65466,0,0.886699,,,,,,,,
5,65467,1,0.0,,,,,,,,
6,65469,0,0.0,,,,,,,,
0,65473,4,-60.91,-612.67,951.9,194.09,-70.8,1.83,34.59,42.57,-6.07
1,65484,5,6.59,-975.46,189.33,39.67,-30.52,-107.42,-3.14,44.79,-20.03
2,65497,4,-88.87,-1104.13,-15.63,-371.09,-195.31,-480.35,-16.82,44.86,0.34
