id,t,dt,ax,ay,az,gx,gy,gz,mx,my,mz
-1,119,119,119.0,119.0,119.0,119.0,20.0,20.0,20.0,14:35:54,04 07 2021
0,75788,4,47.0,-564.09,953.61,597.53,120.85,-329.59,31.31,47.17,-5.22
1,75800,4,-430.91,-1294.68,88.5,-497.44,357.67,-61.04,-1.0,42.55,-23.00
2,75823,5,-229.37,-1117.19,-22.71,-428.47,542.6,48.83,-11.5,46.28,-15.86
3,75835,0,7.563025,,,,,,,,
4,75837,0,0.39215700000000003,,,,,,,,
5,75839,0,0.0,,,,,,,,
6,75840,1,0.0,,,,,,,,
0,75844,4,323.73,-593.02,954.59,570.07,411.38,-704.96,29.74,49.32,-2.67
1,75856,4,-30.52,-915.41,-343.75,-371.7,733.03,-111.08,-0.7,41.72,-25.26
2,75869,4,30.88,-840.09,-289.06,-208.74,513.92,-43.95,-10.55,45.43,-18.97
3,75881,0,7.676131,,,,,,,,
4,75882,1,0.39215700000000003,,,,,,,,
5,75884,0,0.0,,,,,,,,
6,75886,0,0.0,,,,,,,,
0,75889,5,514.4,-247.44,997.07,183.11,211.79,-382.08,27.55,51.14,-0.68
1,75907,4,95.21,-744.75,-457.4,-18.92,276.49,-91.55,0.77,40.05,-28.65
2,75919,4,108.15,-789.43,-283.69,176.39,157.47,-132.45,-9.89,45.73,-19.56
3,75930,0,7.676131,,,,,,,,
4,75932,0,0.29383000000000004,,,,,,,,
5,75934,0,0.0,,,,,,,,
6,75935,1,0.0,,,,,,,,
0,75939,4,393.19,-232.06,977.05,-103.15,245.97,172.12,26.49,52.09,-0.40
1,75952,4,45.17,-797.0,-405.03,382.08,-68.36,-238.04,1.48,39.66,-29.65
2,75964,3,96.44,-807.25,-252.32,531.62,-77.51,-235.6,-9.89,45.73,-19.56
3,75979,0,7.563025,,,,,,,,
4,75981,0,0.195695,,,,,,,,
5,75982,1,0.0,,,,,,,,
6,75984,0,0.0,,,,,,,,
0,75988,5,262.45,-302.49,966.92,-383.3,283.81,521.85,28.03,51.86,-1.99
1,76000,5,105.22,-966.55,-245.36,709.23,-241.7,-250.24,0.33,40.23,-28.61
2,76013,4,88.01,-917.72,-178.1,874.02,-285.64,-245.97,-10.39,46.59,-16.80
3,76024,0,7.563025,,,,,,,,
4,76026,0,0.195695,,,,,,,,
5,76028,0,0.0,,,,,,,,
6,76029,1,0.0,,,,,,,,
0,76034,4,185.06,-522.58,1023.93,-526.73,208.74,646.97,30.91,50.28,-3.53
1,76050,5,85.08,-1091.92,-79.35,936.28,-343.63,-185.55,-0.89,41.63,-27.56
2,76062,5,46.02,-1063.96,-141.6,1047.36,-411.38,-181.27,-12.15,46.97,-13.95
3,76075,0,7.789474,,,,,,,,
4,76077,0,0.29383000000000004,,,,,,,,
5,76079,0,0.0,,,,,,,,
6,76080,1,0.0,,,,,,,,
0,76084,4,199.34,-539.67,882.81,-643.92,107.42,733.03,34.25,47.20,-6.05
1,76096,4,-26.25,-1326.54,146.85,838.01,-395.51,-151.37,-1.06,44.42,-23.73
2,76108,4,0.24,-1146.12,-170.9,1119.38,-545.65,-176.39,-13.96,48.77,-9.81
3,76125,0,7.563025,,,,,,,,
4,76127,0,0.0,,,,,,,,
5,76128,1,0.0,,,,,,,,
6,76130,0,0.0,,,,,,,,
0,76134,4,71.53,-719.97,924.68,-216.67,-181.88,620.73,36.67,44.13,-6.88
1,76145,5,-139.4,-917.97,229.86,463.26,-416.26,-157.47,-3.3,47.28,-19.31
2,76158,5,-91.92,-1204.35,134.4,995.48,-585.33,-176.39,-15.03,48.99,-4.03
3,76170,0,7.563025,,,,,,,,
4,76172,0,0.0,,,,,,,,
5,76174,0,0.0,,,,,,,,
6,76175,0,0.0,,,,,,,,
0,76179,4,212.04,-902.47,838.99,-520.63,144.65,743.41,38.54,42.75,-8.23
1,76195,5,-54.08,-1229.74,365.97,833.13,-468.14,-76.29,-6.12,46.96,-14.43
2,76208,5,-5.0,-1101.44,-57.86,822.14,-515.14,-119.02,-16.1,49.62,1.48
3,76220,0,7.676131,,,,,,,,
4,76222,0,0.0,,,,,,,,
5,76223,0,0.0,,,,,,,,
6,76225,0,0.0,,,,,,,,
0,76228,5,70.8,-655.27,571.41,-255.74,-109.25,629.27,40.7,40.38,-9.67
1,76240,6,60.91,-1067.63,476.32,388.79,-390.01,62.87,-7.43,44.82,-11.17
2,76253,5,-91.19,-1070.43,159.91,563.35,-509.64,-58.59,-16.61,48.10,6.49
3,76269,1,7.676131,,,,,,,,
4,76271,0,0.0,,,,,,,,
5,76273,0,0.0,,,,,,,,
6,76275,0,0.0,,,,,,,,
0,76278,4,-280.4,-1025.15,565.92,-205.69,-96.44,298.46,41.15,39.26,-11.50
1,76291,4,-264.28,-920.53,668.33,460.21,-98.27,-61.65,-7.79,44.71,-10.58
2,76303,4,-216.06,-1098.63,125.49,108.64,-66.53,-111.69,-16.15,47.12,9.67
3,76315,0,7.789474,,,,,,,,
4,76317,0,0.0,,,,,,,,
5,76318,0,0.0,,,,,,,,
6,76320,0,0.0,,,,,,,,
0,76323,5,-109.5,-723.39,297.61,-32.35,96.44,-145.87,42.36,37.60,-12.61
1,76341,4,-259.89,-1352.05,814.7,-693.36,350.95,13.43,-7.97,44.27,-11.19
2,76353,4,-302.98,-1080.69,208.37,-235.6,180.05,-44.56,-16.99,47.38,9.20
3,76364,1,8.359788,,,,,,,,
4,76366,0,0.0,,,,,,,,
5,76368,0,0.0,,,,,,,,
6,76370,0,0.0,,,,,,,,
0,76374,4,456.18,-780.03,1210.69,693.36,-66.53,-623.17,40.59,41.26,-11.74
1,76386,4,-35.4,-1199.46,-232.18,-891.72,320.43,264.28,-7.21,43.63,-15.34
2,76398,4,-188.6,-1057.13,-414.43,-253.91,267.94,-90.94,-17.42,48.13,7.18
3,76414,2,9.168444000000001,,,,,,,,
4,76417,0,0.39215700000000003,,,,,,,,
5,76419,0,0.0,,,,,,,,
6,76421,0,0.0,,,,,,,,
0,76424,4,247.68,-675.05,912.48,795.9,-371.7,-192.26,39.16,43.81,-10.91
1,76436,4,-62.38,-959.23,161.38,-778.81,128.17,209.35,-5.38,43.59,-18.46
2,76448,4,1.22,-1049.56,-174.44,-469.36,-99.49,-103.15,-17.63,48.56,4.90
3,76461,0,9.518717,,,,,,,,
4,76462,1,0.787402,,,,,,,,
5,76464,0,0.0,,,,,,,,
6,76466,0,0.0,,,,,,,,
0,76469,5,143.68,-918.46,914.92,654.91,-325.93,-397.34,37.18,46.80,-9.44
1,76486,4,-28.32,-840.33,227.66,-200.81,106.81,112.92,-6.14,43.71,-21.33
2,76498,5,-81.18,-1172.61,208.62,-613.4,-377.81,-360.72,-18.19,48.38,3.15
3,76510,1,9.871245,,,,,,,,
4,76512,0,0.886699,,,,,,,,
5,76514,0,0.0,,,,,,,,
6,76516,0,0.0,,,,,,,,
0,76519,5,3.42,-641.97,849.24,86.06,-140.99,-84.23,37.51,46.22,-9.25
1,76531,4,-33.69,-993.53,165.04,67.14,-12.21,-63.48,-5.58,43.32,-21.87
2,76544,4,-169.19,-938.84,-163.33,-368.04,-292.36,-352.17,-18.99,47.85,1.26
3,76560,0,10.344828,,,,,,,,
4,76562,0,0.986193,,,,,,,,
5,76564,0,0.0,,,,,,,,
6,76565,1,0.0,,,,,,,,
0,76569,4,93.51,-573.85,814.94,53.71,40.89,37.84,37.52,45.85,-9.50
1,76581,4,-47.36,-995.12,157.23,73.85,-4.88,-39.67,-5.55,42.70,-21.94
2,76593,5,-186.89,-962.89,-126.22,-286.25,17.7,-250.24,-20.31,47.03,0.33
3,76605,0,10.822511,,,,,,,,
4,76607,0,0.986193,,,,,,,,
5,76609,0,0.0,,,,,,,,
6,76610,1,0.0,,,,,,,,
0,76614,4,63.84,-576.78,833.01,48.22,-6.71,44.56,37.56,45.69,-9.79
1,76631,5,-10.86,-1000.24,171.75,50.05,4.88,-1.83,-4.75,42.30,-21.53
2,76643,4,-115.97,-1015.75,-94.48,-206.3,39.06,-231.32,-21.53,46.98,-0.13
3,76655,0,11.183497000000001,,,,,,,,
4,76656,1,0.986193,,,,,,,,
5,76658,0,0.0,,,,,,,,
6,76660,0,0.0,,,,,,,,
0,76663,5,92.9,-583.98,811.04,71.41,84.84,70.19,38.26,46.15,-8.48
1,76676,3,-17.7,-1000.98,172.73,78.74,-1.83,-34.79,-4.75,42.30,-21.53
2,76687,4,-183.96,-993.29,-105.1,-162.96,-7.32,-256.35,-22.07,46.33,-1.67
