id,t,dt,ax,ay,az,gx,gy,gz,mx,my,mz
-1,119,119,119.0,119.0,119.0,119.0,20.0,20.0,20.0,14:34:04,04 07 2021
0,63727,4,29.79,-516.24,839.11,67.75,65.31,24.41,31.63,50.37,-13.51
1,63738,6,14.4,-984.62,175.78,89.72,0.61,-36.01,-1.6,48.17,-23.46
2,63751,5,-163.94,-1015.87,0.12,277.71,-139.77,-62.87,-20.63,49.11,-7.84
3,63763,0,13.399779999999998,,,,,,,,
4,63765,0,1.185771,,,,,,,,
5,63767,0,0.0,,,,,,,,
6,63768,0,0.0,,,,,,,,
0,63772,4,24.17,-571.78,821.78,150.76,112.3,21.36,33.34,49.41,-11.56
1,63783,6,-12.94,-1005.0,161.01,104.98,-4.27,-53.71,-2.0,47.63,-24.73
2,63807,5,-173.58,-1007.93,-40.16,175.17,-66.53,0.61,-20.94,48.68,-6.35
3,63819,0,13.399779999999998,,,,,,,,
4,63821,0,1.185771,,,,,,,,
5,63823,0,0.0,,,,,,,,
6,63824,0,0.0,,,,,,,,
0,63828,5,51.39,-548.83,822.75,27.47,27.47,42.11,34.06,48.79,-11.83
1,63840,5,-18.31,-1000.49,162.11,87.89,1.83,-30.52,-1.66,47.80,-24.56
2,63852,5,-158.69,-998.66,-6.23,122.68,-68.97,56.15,-20.85,48.71,-6.36
3,63864,0,13.399779999999998,,,,,,,,
4,63866,0,1.185771,,,,,,,,
5,63867,1,0.0,,,,,,,,
6,63901,0,0.0,,,,,,,,
0,63904,5,37.11,-548.22,832.28,-31.74,-32.96,37.23,34.4,48.89,-11.83
1,63917,5,-11.96,-997.31,168.46,86.67,9.77,-4.88,-3.08,48.03,-24.08
2,63929,4,-117.55,-995.12,-15.99,224.61,-263.06,82.4,-20.58,49.04,-3.36
3,63941,0,13.777779,,,,,,,,
4,63943,0,1.2858559999999999,,,,,,,,
5,63944,0,0.0,,,,,,,,
6,63946,0,0.0,,,,,,,,
0,63949,5,27.71,-535.28,852.54,4.88,-9.77,42.72,33.61,49.05,-11.88
1,63962,5,-13.31,-1005.74,170.17,109.86,14.65,-7.32,-2.86,47.89,-24.54
2,63990,5,-143.07,-1023.93,-42.11,337.52,-155.64,150.15,-20.04,49.60,-1.61
3,64003,0,13.274335999999998,,,,,,,,
4,64005,0,1.185771,,,,,,,,
5,64007,0,0.0,,,,,,,,
6,64008,0,0.0,,,,,,,,
0,64012,4,22.22,-562.26,859.62,114.14,81.18,110.47,33.3,49.55,-12.13
1,64023,5,-21.85,-997.31,175.9,133.67,20.14,-39.06,-3.19,48.52,-23.52
2,64035,5,-179.57,-1050.9,-34.55,379.64,61.04,210.57,-19.3,50.07,-0.45
3,64048,0,12.403952,,,,,,,,
4,64050,0,1.085883,,,,,,,,
5,64052,0,0.0,,,,,,,,
6,64053,0,0.0,,,,,,,,
0,64057,4,-18.43,-694.95,841.67,317.38,122.68,346.68,33.89,49.58,-12.81
1,64073,5,-3.91,-910.03,192.02,215.45,17.09,11.6,-2.95,48.91,-23.43
2,64086,4,1.71,-1093.14,21.85,333.86,325.32,137.94,-19.19,50.71,0.32
3,64097,1,12.035012,,,,,,,,
4,64099,0,0.886699,,,,,,,,
5,64101,0,0.0,,,,,,,,
6,64103,0,0.0,,,,,,,,
0,64106,4,64.82,-694.46,858.52,-122.68,251.46,220.34,34.3,50.70,-10.66
1,64118,4,0.98,-958.01,165.04,402.83,10.99,-64.7,-4.11,48.65,-22.44
2,64131,4,-76.29,-1041.02,-182.37,225.22,7.93,-31.13,-17.99,50.29,1.22
3,64147,0,11.425462,,,,,,,,
4,64149,0,0.49067700000000003,,,,,,,,
5,64151,0,0.0,,,,,,,,
6,64152,0,0.0,,,,,,,,
0,64156,4,-104.86,-587.04,822.75,-262.45,252.08,117.19,34.51,50.28,-10.90
1,64168,5,-132.93,-1001.95,381.59,467.53,248.41,-126.34,-4.59,49.45,-20.78
2,64181,3,-159.18,-1057.62,42.6,70.19,225.83,-1.22,-17.99,50.29,1.22
3,64191,0,10.702703,,,,,,,,
4,64193,0,0.39215700000000003,,,,,,,,
5,64195,0,0.0,,,,,,,,
6,64196,0,0.0,,,,,,,,
0,64200,4,-162.23,-731.08,534.3,-105.59,271.0,-342.41,35.88,48.77,-11.79
1,64217,5,180.18,-963.99,538.7,10.99,484.01,87.28,-3.05,49.72,-21.58
2,64229,5,-20.39,-1098.14,228.27,-209.96,587.16,186.16,-18.23,50.16,0.54
3,64241,0,10.583153,,,,,,,,
