id,t,dt,ax,ay,az,gx,gy,gz,mx,my,mz
-1,119,119,119.0,119.0,119.0,119.0,20.0,20.0,20.0,14:43:44,04 16 2021
0,13862,5,-8.18,-451.05,885.01,26.86,14.04,17.7,32.53,27.16,-13.65
1,13874,5,3.42,-965.94,257.81,87.89,12.21,0.0,5.16,46.55,-18.54
2,13886,4,219.36,102.54,958.98,14.65,-12.21,-7.32,17.59,-13.95,-35.40
3,13898,0,0.0,,,,,,,,
4,13899,0,0.0,,,,,,,,
5,13901,0,0.0,,,,,,,,
6,13903,0,0.0,,,,,,,,
0,13906,5,-8.06,-448.36,884.64,25.02,17.09,20.14,32.35,27.25,-13.31
1,13919,4,4.39,-965.58,257.69,90.33,13.43,0.61,4.75,46.80,-18.75
2,13934,5,218.87,107.54,958.74,12.21,-25.63,-10.99,17.5,-13.27,-34.77
3,13946,0,0.0,,,,,,,,
4,13947,0,0.0,,,,,,,,
5,13949,0,0.0,,,,,,,,
6,13952,0,0.0,,,,,,,,
0,13955,4,-4.15,-448.49,884.64,18.31,18.92,23.8,32.59,27.26,-14.47
1,13967,4,4.15,-966.55,258.54,93.38,13.43,2.44,5.02,46.83,-18.03
2,13978,5,211.18,98.63,965.21,11.6,-28.69,-18.92,17.32,-13.81,-34.80
3,13990,0,0.0,,,,,,,,
4,13992,0,0.0,,,,,,,,
5,13993,0,0.0,,,,,,,,
6,13996,0,0.0,,,,,,,,
0,13999,4,-3.54,-446.53,883.79,16.48,17.7,20.75,32.59,27.26,-14.47
1,14014,4,4.76,-966.06,258.42,90.94,14.65,3.05,4.38,46.63,-18.70
2,14026,4,212.65,98.14,961.79,10.38,-26.25,-16.48,17.27,-13.87,-36.11
3,14038,0,0.0,,,,,,,,
4,14040,0,0.0,,,,,,,,
5,14042,0,0.0,,,,,,,,
6,14043,0,0.0,,,,,,,,
0,14047,4,-3.17,-446.53,883.18,14.65,17.7,21.36,32.82,27.66,-14.29
1,14058,4,6.84,-966.67,257.57,93.38,14.65,4.27,4.38,46.63,-18.70
2,14069,4,211.55,91.67,965.33,6.1,-22.58,-18.92,17.22,-14.03,-35.57
3,14085,0,0.0,,,,,,,,
4,14087,0,0.0,,,,,,,,
5,14089,0,0.0,,,,,,,,
6,14090,0,0.0,,,,,,,,
0,14094,4,-2.93,-444.7,883.91,16.48,23.19,26.86,32.62,27.81,-13.32
1,14105,5,4.64,-966.31,257.32,93.99,13.43,-7.93,4.94,46.73,-18.79
2,14117,4,206.18,103.03,963.62,6.1,-20.14,-4.88,16.92,-13.96,-34.79
3,14129,1,0.0,,,,,,,,
4,14131,0,0.0,,,,,,,,
5,14133,0,0.0,,,,,,,,
6,14134,0,0.0,,,,,,,,
0,14138,4,-2.08,-445.8,885.13,16.48,25.63,29.3,32.29,28.23,-14.22
1,14155,5,2.69,-968.99,255.62,94.6,12.21,-12.21,4.38,46.95,-17.92
2,14168,4,203.74,112.06,969.24,7.32,-18.31,10.99,17.43,-14.21,-34.12
3,14179,0,0.0,,,,,,,,
4,14181,0,0.0,,,,,,,,
5,14183,0,0.0,,,,,,,,
6,14184,0,0.0,,,,,,,,
0,14188,4,2.32,-444.82,884.4,18.92,25.63,28.08,32.6,28.10,-14.58
1,14199,5,2.56,-970.09,256.96,94.6,11.6,-6.71,4.79,47.31,-18.51
2,14212,4,200.2,110.84,968.63,12.21,-20.75,-4.27,17.07,-14.04,-35.23
3,14224,0,0.0,,,,,,,,
4,14225,0,0.0,,,,,,,,
5,14231,0,0.0,,,,,,,,
6,14232,0,0.0,,,,,,,,
0,14236,4,-29.54,-446.04,884.28,18.31,21.97,23.8,32.68,27.32,-14.44
1,14247,6,1.95,-966.8,255.0,92.77,13.43,-4.88,4.96,47.16,-17.55
2,14260,5,201.9,104.74,963.13,15.26,-15.26,-3.66,17.04,-14.42,-34.80
3,14272,0,0.0,,,,,,,,
4,14273,0,0.0,,,,,,,,
5,14275,0,0.0,,,,,,,,
6,14277,0,0.0,,,,,,,,
0,14280,4,0.98,-442.5,884.89,18.92,19.53,25.02,32.39,27.45,-14.75
1,14292,5,1.83,-970.7,255.49,92.77,12.82,-8.54,4.27,46.33,-17.80
2,14308,5,192.87,109.25,971.56,20.14,-13.43,2.44,16.39,-13.70,-34.77
3,14320,0,0.0,,,,,,,,
4,14321,0,0.0,,,,,,,,
5,14323,0,0.0,,,,,,,,
6,14325,0,0.0,,,,,,,,
0,14328,4,6.23,-445.56,885.01,25.63,25.63,24.41,32.54,27.58,-14.50
1,14341,4,-0.73,-970.34,254.52,87.89,11.6,-6.1,4.47,46.75,-18.85
2,14352,4,195.8,116.7,970.46,28.08,-5.49,-7.32,16.39,-13.70,-34.77
3,14363,0,0.0,,,,,,,,
4,14364,1,0.0,,,,,,,,
5,14366,0,0.0,,,,,,,,
6,14368,0,0.0,,,,,,,,
0,14371,5,2.69,-446.66,883.3,24.41,17.7,20.75,32.28,27.65,-13.46
1,14388,4,0.61,-966.92,255.49,90.33,11.6,-4.88,4.79,46.70,-17.85
2,14399,5,200.44,103.39,960.69,25.02,-3.66,3.05,16.87,-14.36,-35.30
3,14411,0,0.0,,,,,,,,
4,14412,0,0.0,,,,,,,,
5,14414,0,0.0,,,,,,,,
6,14416,0,0.0,,,,,,,,
0,14419,5,3.42,-446.17,885.86,23.19,14.04,19.53,32.76,27.61,-13.96
1,14432,4,-1.59,-966.55,255.13,87.28,13.43,-1.22,4.08,47.00,-18.19
2,14444,4,197.02,119.02,966.31,34.18,-11.6,0.61,16.91,-13.59,-35.10
3,14459,0,0.0,,,,,,,,
4,14460,0,0.0,,,,,,,,
5,14462,0,0.0,,,,,,,,
6,14465,0,0.0,,,,,,,,
0,14468,4,5.74,-445.56,883.91,22.58,14.65,15.87,32.64,27.40,-14.42
1,14480,4,2.32,-970.58,253.78,87.89,14.04,3.66,4.54,46.66,-17.07
