id,t,dt,ax,ay,az,gx,gy,gz,mx,my,mz
-1,119,119,119.0,119.0,119.0,119.0,20.0,20.0,20.0,-6:46:18,04 12 2021
0,12382,4,94.6,-583.5,793.58,26.25,14.65,17.09,-0.16,24.77,-12.74
1,12401,4,-26.0,-990.72,164.67,85.45,15.26,-2.44,34.83,40.52,-3.97
2,12412,6,-87.4,-997.92,73.97,22.58,-10.38,4.27,26.93,36.18,2.36
3,12425,0,0.0,,,,,,,,
4,12426,1,0.0,,,,,,,,
5,12428,0,0.0,,,,,,,,
6,12430,0,0.0,,,,,,,,
0,12433,5,95.34,-586.3,790.04,20.14,11.6,15.87,-0.27,25.33,-12.68
1,12445,4,-26.61,-995.61,164.06,94.6,15.26,1.83,34.78,40.25,-4.42
2,12457,5,-73.61,-1000.12,67.63,31.74,-7.32,6.71,27.05,35.73,1.14
3,12474,0,0.0,,,,,,,,
4,12476,0,0.0,,,,,,,,
5,12477,1,0.0,,,,,,,,
6,12479,0,0.0,,,,,,,,
0,12483,4,91.8,-585.45,791.99,11.6,-6.1,-1.22,-0.22,24.16,-12.57
1,12494,5,-19.65,-996.46,164.31,92.77,17.7,15.26,35.01,40.22,-4.58
2,12507,4,-77.76,-1000.49,69.46,34.79,-54.93,4.88,27.09,35.82,1.29
3,12518,0,0.0,,,,,,,,
4,12520,0,0.0,,,,,,,,
5,12522,0,0.0,,,,,,,,
6,12523,0,0.0,,,,,,,,
0,12527,4,96.07,-586.3,793.82,7.93,-13.43,-6.71,-0.63,24.39,-13.15
1,12542,6,-15.26,-992.68,165.53,91.55,19.53,21.36,35.05,40.17,-3.96
2,12555,4,-77.39,-1000.98,67.99,35.4,-73.85,5.49,26.73,35.73,1.55
3,12566,1,0.0,,,,,,,,
4,12568,0,0.0,,,,,,,,
5,12570,0,0.0,,,,,,,,
6,12571,0,0.0,,,,,,,,
0,12575,4,81.91,-579.83,797.36,8.54,-8.54,-0.61,-0.18,24.50,-13.46
1,12587,5,-12.94,-997.19,163.57,90.94,18.31,17.7,34.61,39.76,-4.19
2,12599,5,-73.61,-1010.62,67.5,27.47,-45.17,4.27,27.6,35.64,2.34
3,12611,0,0.0,,,,,,,,
4,12612,0,0.0,,,,,,,,
5,12618,0,0.0,,,,,,,,
6,12619,0,0.0,,,,,,,,
0,12623,4,80.32,-581.67,794.56,17.09,3.05,7.93,-0.13,24.40,-12.54
1,12635,5,-14.65,-990.36,167.6,87.89,14.04,4.27,34.44,40.19,-4.41
2,12647,4,-77.88,-1000.49,62.74,29.3,-26.25,-0.61,27.78,35.46,-0.37
3,12659,0,0.0,,,,,,,,
4,12660,0,0.0,,,,,,,,
5,12662,0,0.0,,,,,,,,
6,12663,1,0.0,,,,,,,,
0,12667,5,79.35,-577.39,800.42,25.02,13.43,17.7,-0.61,24.80,-12.29
1,12680,3,-13.43,-995.73,164.67,88.5,12.82,-2.44,34.44,40.19,-4.41
2,12694,5,-82.4,-1000.49,72.02,26.86,-4.27,-5.49,27.4,35.75,0.96
3,12706,0,0.0,,,,,,,,
4,12707,0,0.0,,,,,,,,
5,12709,0,0.0,,,,,,,,
6,12710,1,0.0,,,,,,,,
0,12715,3,78.49,-583.98,795.78,26.25,16.48,21.97,-0.61,24.80,-12.29
1,12726,4,-11.11,-987.67,168.33,93.99,11.6,-4.88,35.16,40.26,-3.67
2,12737,5,-69.46,-1000.61,71.29,37.23,-3.66,-13.43,27.33,35.39,0.83
3,12749,0,0.0,,,,,,,,
4,12750,0,0.0,,,,,,,,
5,12752,0,0.0,,,,,,,,
6,12754,0,0.0,,,,,,,,
0,12758,4,82.52,-582.64,795.17,25.02,26.25,30.52,-0.31,24.30,-12.60
1,12774,4,-17.09,-991.82,165.65,102.54,10.99,-12.21,34.95,40.12,-2.59
2,12786,4,-78.37,-996.95,61.52,48.83,-1.83,-20.75,27.0,35.63,0.96
3,12797,0,0.0,,,,,,,,
4,12800,0,0.0,,,,,,,,
5,12801,0,0.0,,,,,,,,
6,12803,0,0.0,,,,,,,,
0,12806,5,86.3,-581.3,797.12,28.08,25.63,31.13,-0.95,24.12,-12.00
1,12818,4,-13.67,-985.84,166.87,83.62,10.38,-9.16,35.06,40.76,-3.61
2,12830,4,-81.91,-1000.49,66.89,48.83,12.21,-21.36,27.31,35.63,0.95
3,12846,0,0.0,,,,,,,,
4,12848,0,0.0,,,,,,,,
5,12849,0,0.0,,,,,,,,
6,12851,0,0.0,,,,,,,,
0,12854,5,85.69,-581.42,795.9,28.69,34.18,40.28,-0.22,24.78,-13.00
1,12866,4,-17.33,-994.38,164.43,90.94,7.93,-20.14,34.74,40.21,-3.98
2,12878,4,-79.96,-997.68,62.74,52.49,6.71,-28.69,27.39,35.99,2.32
3,12890,0,0.0,,,,,,,,
4,12892,0,0.0,,,,,,,,
5,12893,0,0.0,,,,,,,,
6,12895,0,0.0,,,,,,,,
0,12898,5,92.16,-584.59,791.26,26.25,35.4,39.06,-0.21,24.24,-12.71
1,12914,4,-23.44,-997.92,163.94,96.44,9.16,-15.26,34.97,40.27,-3.02
2,12926,4,-101.81,-1003.3,52.37,57.98,-0.61,-31.13,27.39,35.99,2.32
3,12937,0,0.0,,,,,,,,
4,12939,0,0.0,,,,,,,,
5,12940,0,0.0,,,,,,,,
6,12942,0,0.0,,,,,,,,
0,12945,5,90.94,-584.23,793.95,27.47,32.96,36.01,-0.55,24.44,-12.49
1,12957,4,-21.24,-987.79,166.26,93.38,10.99,-12.21,34.85,40.42,-4.21
2,12969,5,-86.3,-1001.59,57.98,56.15,20.75,-32.96,27.47,35.84,1.77
3,12981,0,0.0,,,,,,,,
4,12983,0,0.0,,,,,,,,
5,12988,1,0.0,,,,,,,,
6,12990,0,0.0,,,,,,,,
0,12994,4,95.09,-582.89,792.48,27.47,34.18,38.45,-0.37,24.12,-12.61
1,13005,5,-21.61,-993.53,162.6,100.71,10.99,-14.04,34.58,39.99,-3.63
2,13018,4,-87.77,-998.41,49.32,57.37,10.38,-32.96,26.6,35.56,1.76
3,13029,1,0.0,,,,,,,,
4,13031,0,0.0,,,,,,,,
5,13033,0,0.0,,,,,,,,
6,13034,0,0.0,,,,,,,,
0,13038,4,96.8,-581.3,794.19,28.08,34.18,43.33,0.35,24.34,-12.56
1,13049,5,-22.58,-993.9,162.23,98.88,11.6,-18.92,35.44,39.94,-3.61
2,13066,4,-94.24,-1000.85,43.95,63.48,0.0,-35.4,26.86,36.23,1.88
3,13077,0,0.0,,,,,,,,
4,13079,0,0.0,,,,,,,,
5,13081,0,0.0,,,,,,,,
6,13082,0,0.0,,,,,,,,
0,13086,4,102.66,-584.35,790.16,28.69,34.79,43.95,-0.21,24.91,-12.78
1,13099,4,-26.12,-990.72,161.74,92.77,9.77,-17.09,35.23,40.84,-4.39
2,13110,5,-107.06,-1000.49,41.38,65.31,-20.75,-39.06,26.15,36.05,2.75
3,13122,0,0.0,,,,,,,,
4,13123,0,0.0,,,,,,,,
5,13125,0,0.0,,,,,,,,
6,13127,0,0.0,,,,,,,,
0,13134,4,101.2,-583.13,790.77,33.57,37.84,42.11,-0.33,24.28,-12.21
1,13147,4,-27.34,-994.38,162.6,98.27,12.21,-15.26,34.95,40.52,-3.97
2,13158,5,-127.2,-986.82,38.21,68.36,11.6,-39.06,26.28,35.83,2.83
3,13170,0,0.0,,,,,,,,
4,13171,1,0.0,,,,,,,,
5,13173,0,0.0,,,,,,,,
6,13175,0,0.0,,,,,,,,
0,13178,6,114.87,-583.86,788.33,36.62,33.57,37.84,-0.51,24.79,-12.19
1,13191,4,-35.4,-997.8,159.79,85.45,17.09,-11.6,34.45,40.32,-3.43
2,13203,4,-126.95,-1000.24,32.96,61.04,-45.17,-36.01,26.22,36.07,2.60
3,13218,0,0.0,,,,,,,,
4,13220,0,0.0,,,,,,,,
5,13221,0,0.0,,,,,,,,
6,13223,0,0.0,,,,,,,,
0,13227,5,103.27,-584.11,787.48,23.8,7.93,15.26,-0.37,24.34,-12.73
1,13239,3,-23.32,-996.46,159.3,86.06,16.48,6.71,34.45,40.32,-3.43
2,13250,4,-127.08,-1003.42,21.12,38.45,-47.61,-28.08,25.89,35.79,3.33
3,13261,0,0.0,,,,,,,,
4,13263,0,0.0,,,,,,,,
5,13264,1,0.0,,,,,,,,
6,13266,0,0.0,,,,,,,,
0,13271,4,108.4,-585.33,790.77,18.31,7.93,9.16,-0.43,24.66,-13.67
1,13286,4,-25.27,-1000.61,161.38,70.19,21.36,7.93,35.18,39.89,-4.19
2,13298,4,-138.18,-1008.3,11.35,1.83,-64.7,-20.14,25.84,36.05,2.82
3,13309,0,0.0,,,,,,,,
4,13312,0,0.0,,,,,,,,
5,13314,0,0.0,,,,,,,,
6,13315,0,0.0,,,,,,,,
0,13319,4,100.71,-586.67,790.65,24.41,4.88,1.22,-0.56,25.42,-12.19
1,13330,5,-22.58,-971.92,171.14,65.92,22.58,12.21,34.94,40.16,-2.75
2,13342,4,-119.26,-993.41,33.2,-16.48,-29.3,-10.99,26.59,36.25,2.14
3,13353,2,0.0,,,,,,,,
4,13360,0,0.0,,,,,,,,
5,13362,0,0.0,,,,,,,,
6,13363,0,0.0,,,,,,,,
0,13367,4,106.08,-582.4,793.21,26.25,3.05,1.83,-0.37,24.54,-12.43
1,13378,5,-26.98,-1002.08,165.41,78.12,21.97,15.87,35.05,40.10,-3.88
2,13390,5,-119.63,-999.15,44.19,-23.19,-18.31,-1.22,25.93,36.06,2.78
3,13403,0,0.0,,,,,,,,
4,13404,0,0.0,,,,,,,,
5,13406,0,0.0,,,,,,,,
6,13408,0,0.0,,,,,,,,
0,13411,4,91.67,-587.89,793.33,25.63,6.71,2.44,-0.94,24.65,-12.92
1,13423,4,-13.55,-989.26,169.19,75.07,19.53,16.48,35.02,40.14,-3.08
2,13438,6,-110.11,-992.31,54.81,-10.38,4.27,-7.93,25.56,36.21,1.71
3,13451,0,0.0,,,,,,,,
4,13452,0,0.0,,,,,,,,
5,13454,0,0.0,,,,,,,,
6,13456,0,0.0,,,,,,,,
0,13459,4,91.92,-589.23,790.89,26.86,14.65,16.48,-0.94,25.62,-12.89
1,13471,4,-16.85,-987.18,171.26,86.06,17.09,0.61,35.25,40.01,-2.94
2,13483,4,-122.68,-996.22,49.44,13.43,-14.65,-9.16,25.56,36.21,1.71
3,13494,0,0.0,,,,,,,,
4,13495,0,0.0,,,,,,,,
5,13497,0,0.0,,,,,,,,
6,13499,0,0.0,,,,,,,,
0,13506,4,96.07,-589.48,790.16,26.25,19.53,21.97,-0.67,24.90,-12.10
1,13518,4,-23.44,-989.14,172.24,90.94,15.26,-3.66,34.66,40.61,-3.63
2,13530,5,-129.39,-1000.61,46.26,26.25,0.0,-11.6,25.35,36.33,2.25
3,13542,0,0.0,,,,,,,,
4,13543,0,0.0,,,,,,,,
5,13545,0,0.0,,,,,,,,
6,13547,0,0.0,,,,,,,,
0,13550,3,102.42,-589.97,788.33,24.41,17.7,21.36,-0.67,24.90,-12.10
1,13561,4,-21.24,-993.65,167.48,89.72,14.04,0.61,35.01,39.92,-2.69
2,13573,5,-123.05,-998.41,44.56,21.36,-5.49,-6.71,26.12,35.82,2.31
3,13589,0,0.0,,,,,,,,
4,13590,0,0.0,,,,,,,,
5,13592,0,0.0,,,,,,,,
6,13594,0,0.0,,,,,,,,
0,13597,4,96.31,-587.52,790.41,21.36,14.04,20.75,-0.67,25.10,-12.65
1,13609,5,-23.68,-985.84,170.29,88.5,14.04,-3.66,35.49,40.28,-3.61
2,13621,5,-125.61,-994.75,46.39,19.53,10.38,-4.88,25.87,36.12,1.46
3,13633,0,0.0,,,,,,,,
4,13634,1,0.0,,,,,,,,
5,13636,0,0.0,,,,,,,,
6,13638,0,0.0,,,,,,,,
0,13641,5,101.2,-590.82,788.7,22.58,14.65,21.36,-0.63,24.95,-13.07
1,13658,4,-17.94,-989.14,169.43,89.11,10.99,0.0,35.1,40.59,-2.82
2,13669,5,-130.0,-998.78,49.07,23.8,-4.88,-5.49,26.28,35.91,1.95
3,13681,0,0.0,,,,,,,,
4,13682,1,0.0,,,,,,,,
5,13684,0,0.0,,,,,,,,
6,13686,0,0.0,,,,,,,,
0,13689,5,96.56,-588.5,788.82,17.7,13.43,19.53,-0.17,25.00,-11.60
1,13702,4,-19.9,-989.75,170.41,95.21,13.43,0.61,34.72,40.30,-3.43
2,13714,4,-116.33,-998.05,49.93,26.86,17.09,-4.27,25.93,36.08,1.98
3,13725,0,0.0,,,,,,,,
4,13730,0,0.0,,,,,,,,
5,13732,0,0.0,,,,,,,,
6,13734,0,0.0,,,,,,,,
0,13737,5,96.07,-586.18,790.89,23.19,17.09,25.63,0.16,24.40,-13.10
1,13750,4,-19.41,-991.94,168.82,90.94,10.38,-10.99,34.7,40.84,-3.33
2,13762,4,-133.91,-998.9,44.07,28.08,-11.6,-8.54,25.6,35.95,1.61
3,13773,0,0.0,,,,,,,,
4,13775,0,0.0,,,,,,,,
5,13776,0,0.0,,,,,,,,
6,13778,0,0.0,,,,,,,,
0,13782,5,96.44,-587.28,791.5,21.97,19.53,27.47,0.34,24.91,-13.29
1,13794,3,-25.51,-995.36,167.97,92.77,10.99,-9.77,34.7,40.84,-3.33
2,13809,4,-135.99,-1000.49,41.99,26.25,-3.05,-4.27,26.32,35.78,1.44
3,13820,0,0.0,,,,,,,,
4,13822,0,0.0,,,,,,,,
5,13824,0,0.0,,,,,,,,
6,13826,0,0.0,,,,,,,,
0,13829,5,96.68,-590.82,787.72,23.8,20.14,21.97,-0.26,24.50,-12.78
1,13841,4,-20.87,-988.28,170.04,91.55,13.43,-4.27,35.11,40.81,-3.59
2,13853,4,-127.08,-999.27,46.14,30.52,-1.83,-7.93,25.84,35.73,1.46
3,13864,0,0.0,,,,,,,,
4,13867,0,0.0,,,,,,,,
5,13868,1,0.0,,,,,,,,
6,13870,0,0.0,,,,,,,,
0,13877,5,98.39,-587.65,789.31,21.97,18.31,24.41,-0.4,24.56,-12.48
1,13889,4,-20.14,-986.82,169.8,93.99,10.99,-4.27,34.99,40.76,-3.03
2,13901,4,-132.08,-989.62,55.18,33.57,1.83,-6.1,25.6,36.11,1.38
3,13913,0,0.0,,,,,,,,
4,13915,0,0.0,,,,,,,,
5,13916,1,0.0,,,,,,,,
6,13918,0,0.0,,,,,,,,
0,13921,5,100.34,-587.65,790.16,20.75,18.31,23.19,-0.24,24.32,-13.33
1,13933,5,-20.14,-995.0,168.82,102.54,12.21,-1.83,35.6,40.38,-3.76
2,13945,4,-131.59,-1003.17,31.86,44.56,-3.66,-6.71,25.29,36.18,1.61
3,13961,0,0.0,,,,,,,,
4,13963,0,0.0,,,,,,,,
5,13965,0,0.0,,,,,,,,
6,13966,0,0.0,,,,,,,,
