id,t,dt,ax,ay,az,gx,gy,gz,mx,my,mz
-1,119,119,119.0,119.0,119.0,119.0,20.0,20.0,20.0,-6:45:21,04 12 2021
0,7330,4,215.82,-581.05,770.39,32.96,16.48,13.43,3.0,26.72,-13.79
1,7342,5,-97.41,-991.58,147.46,90.94,15.87,3.05,30.85,40.86,-4.70
2,7354,4,-176.51,-992.07,13.31,35.4,17.7,1.83,21.75,38.21,3.87
3,7365,0,0.0,,,,,,,,
4,7367,0,0.0,,,,,,,,
5,7369,0,0.0,,,,,,,,
6,7370,0,0.0,,,,,,,,
0,7374,4,226.07,-577.27,766.85,27.47,14.65,12.21,2.64,26.10,-12.95
1,7386,5,-98.51,-995.0,148.19,87.89,15.87,6.71,31.53,40.27,-5.74
2,7402,4,-184.57,-998.05,10.62,24.41,4.27,7.93,21.72,38.07,3.45
3,7413,0,0.0,,,,,,,,
4,7415,0,0.0,,,,,,,,
5,7416,0,0.0,,,,,,,,
6,7418,0,0.0,,,,,,,,
0,7421,6,219.24,-583.13,768.31,26.86,9.77,6.71,3.05,26.61,-12.79
1,7434,4,-94.97,-990.48,149.17,91.55,18.31,5.49,31.14,40.70,-3.89
2,7445,5,-180.05,-998.9,3.17,27.47,18.31,15.26,21.9,37.52,3.33
3,7457,0,0.0,,,,,,,,
4,7458,0,0.0,,,,,,,,
5,7460,0,0.0,,,,,,,,
6,7461,1,0.0,,,,,,,,
0,7465,5,223.14,-578.98,767.82,26.86,12.82,7.93,2.44,26.21,-13.70
1,7481,5,-96.19,-996.09,149.17,87.28,17.7,7.93,31.9,40.32,-4.93
2,7493,5,-177.98,-1000.49,6.1,21.36,9.77,22.58,21.72,37.60,2.88
3,7504,1,0.0,,,,,,,,
4,7506,0,0.0,,,,,,,,
5,7508,0,0.0,,,,,,,,
6,7510,0,0.0,,,,,,,,
0,7514,4,223.27,-577.39,769.9,36.62,7.93,1.22,2.83,26.12,-13.76
1,7525,5,-95.09,-996.22,148.68,76.29,22.58,12.21,31.57,40.45,-4.77
2,7537,4,-170.41,-998.41,15.26,17.7,3.66,25.02,22.39,37.60,2.54
3,7548,0,0.0,,,,,,,,
4,7555,0,0.0,,,,,,,,
5,7556,0,0.0,,,,,,,,
6,7558,0,0.0,,,,,,,,
0,7561,5,215.09,-584.11,766.97,37.84,11.6,4.27,3.39,26.57,-13.73
1,7573,4,-92.77,-991.21,150.15,82.4,19.53,8.54,32.06,41.06,-3.89
2,7584,5,-160.89,-992.43,16.6,25.02,13.43,23.19,22.12,38.23,2.64
3,7597,0,0.0,,,,,,,,
4,7598,0,0.0,,,,,,,,
5,7600,0,0.0,,,,,,,,
6,7602,0,0.0,,,,,,,,
0,7605,4,211.18,-592.53,762.45,32.35,15.26,9.77,2.8,26.15,-14.28
1,7617,4,-91.55,-979.13,154.3,85.45,14.04,3.66,31.73,40.20,-4.36
2,7632,4,-172.24,-988.53,14.4,24.41,9.16,19.53,22.55,37.92,3.93
3,7644,0,0.0,,,,,,,,
