id,t,dt,ax,ay,az,gx,gy,gz,mx,my,mz
-1,119,119,119.0,119.0,119.0,119.0,20.0,20.0,20.0,-6:48:41,04 12 2021
0,18914,4,133.06,-603.03,773.8,23.19,9.16,12.21,29.19,18.08,-17.74
1,18925,5,-25.76,-994.51,166.02,89.11,14.04,4.88,5.59,45.74,5.03
2,18937,4,-152.22,-1000.49,8.79,14.04,0.61,18.92,-3.39,38.98,15.98
3,18949,1,0.0,,,,,,,,
4,18951,0,0.0,,,,,,,,
5,18961,1,0.0,,,,,,,,
6,18963,0,0.0,,,,,,,,
0,18966,5,132.93,-602.29,772.95,23.8,10.38,10.99,28.91,17.75,-17.94
1,18978,5,-25.02,-993.41,165.89,91.55,13.43,5.49,5.86,45.68,5.11
2,18991,4,-149.29,-1000.49,9.28,11.6,1.22,23.19,-2.65,38.88,16.71
3,19002,0,0.0,,,,,,,,
4,19004,0,0.0,,,,,,,,
5,19006,0,0.0,,,,,,,,
6,19007,0,0.0,,,,,,,,
0,19011,4,129.88,-602.54,771.73,24.41,9.16,8.54,29.41,18.04,-18.35
1,19022,5,-22.46,-992.92,165.04,87.28,14.65,3.66,5.6,45.40,4.80
2,19040,4,-146.0,-1000.49,13.06,11.6,-4.88,23.8,-3.37,38.57,15.87
3,19051,0,0.0,,,,,,,,
4,19053,0,0.0,,,,,,,,
5,19055,0,0.0,,,,,,,,
6,19056,0,0.0,,,,,,,,
0,19060,4,130.98,-601.32,774.66,26.86,11.6,9.77,29.44,17.88,-18.02
1,19072,5,-26.12,-996.34,165.41,83.62,14.04,7.32,6.2,45.31,5.10
2,19084,4,-150.51,-1000.61,10.86,14.65,0.0,25.63,-2.94,38.22,16.82
3,19095,1,0.0,,,,,,,,
4,19097,0,0.0,,,,,,,,
5,19099,0,0.0,,,,,,,,
6,19100,0,0.0,,,,,,,,
0,19104,4,128.05,-603.27,775.39,30.52,9.77,6.71,29.02,18.07,-18.14
1,19120,5,-23.32,-992.8,167.36,83.62,14.65,9.77,6.08,45.12,4.41
2,19132,4,-144.53,-994.14,11.6,15.87,-2.44,27.47,-2.51,38.45,16.43
3,19143,0,0.0,,,,,,,,
4,19145,0,0.0,,,,,,,,
5,19146,1,0.0,,,,,,,,
6,19148,0,0.0,,,,,,,,
0,19152,4,136.84,-605.1,768.92,28.08,1.22,0.0,28.75,17.87,-17.96
1,19164,5,-28.2,-994.26,167.36,83.62,18.31,19.53,5.97,45.72,3.50
2,19176,4,-138.31,-999.51,19.04,15.26,-38.45,23.8,-2.34,39.00,17.02
3,19191,0,0.0,,,,,,,,
4,19193,0,0.0,,,,,,,,
5,19194,0,0.0,,,,,,,,
6,19196,0,0.0,,,,,,,,
0,19200,5,119.51,-606.57,772.83,23.19,-11.6,-7.32,29.52,18.24,-17.91
1,19212,5,-16.36,-989.01,168.33,84.84,19.53,20.75,6.18,45.68,4.63
2,19224,4,-133.91,-996.7,20.75,13.43,-27.47,19.53,-2.33,39.23,17.48
3,19235,0,0.0,,,,,,,,
4,19237,0,0.0,,,,,,,,
5,19239,0,0.0,,,,,,,,
6,19240,0,0.0,,,,,,,,
0,19245,4,116.82,-607.3,769.65,21.36,0.61,6.1,29.64,18.41,-18.97
1,19256,5,-17.46,-988.4,169.68,86.67,14.04,6.71,6.37,45.54,4.14
2,19272,4,-134.4,-994.26,24.54,15.26,-25.63,11.6,-1.66,38.87,15.17
3,19283,0,0.0,,,,,,,,
4,19286,0,0.0,,,,,,,,
5,19287,1,0.0,,,,,,,,
6,19289,0,0.0,,,,,,,,
0,19293,4,112.43,-606.08,773.68,17.09,4.88,10.99,29.33,17.99,-19.17
1,19304,5,-15.5,-992.43,168.58,92.16,13.43,-1.22,5.87,45.00,4.44
2,19316,3,-138.06,-1000.85,18.8,18.31,-6.71,6.1,-1.66,38.87,15.17
3,19326,0,0.0,,,,,,,,
4,19329,0,0.0,,,,,,,,
5,19331,0,0.0,,,,,,,,
6,19336,0,0.0,,,,,,,,
0,19339,5,111.69,-605.71,773.93,18.31,16.48,18.31,29.33,17.71,-18.32
1,19351,5,-9.03,-985.84,168.58,93.99,10.99,-5.49,6.13,45.37,5.20
2,19363,4,-131.84,-996.09,18.07,17.09,27.47,7.32,-1.82,38.66,16.19
3,19375,0,0.0,,,,,,,,
4,19377,0,0.0,,,,,,,,
5,19378,1,0.0,,,,,,,,
6,19380,0,0.0,,,,,,,,
0,19383,5,115.11,-606.45,773.44,13.43,26.25,27.47,28.98,17.66,-18.60
1,19395,5,-16.24,-989.38,168.21,96.44,7.93,-14.04,6.05,45.72,4.92
2,19407,4,-153.69,-996.7,19.53,7.93,37.84,12.82,-1.81,38.54,15.32
3,19423,0,0.0,,,,,,,,
4,19425,0,0.0,,,,,,,,
5,19426,1,0.0,,,,,,,,
6,19428,0,0.0,,,,,,,,
0,19431,5,126.59,-612.3,773.07,0.61,31.13,31.74,29.08,17.57,-18.77
1,19443,5,-25.88,-989.26,167.85,104.98,9.77,-20.75,6.27,45.69,4.69
2,19456,4,-144.65,-997.31,18.92,-2.44,45.17,22.58,-1.88,39.79,15.48
3,19467,0,0.0,,,,,,,,
4,19469,0,0.0,,,,,,,,
5,19471,0,0.0,,,,,,,,
6,19472,0,0.0,,,,,,,,
0,19476,4,135.62,-608.28,773.19,-17.09,20.75,23.19,28.65,17.99,-17.83
1,19491,4,-21.97,-989.38,163.82,87.89,7.93,-9.16,6.27,45.69,4.69
2,19503,4,-138.18,-1020.39,-27.95,-69.58,34.18,53.71,-2.21,39.51,16.11
3,19514,0,0.0,,,,,,,,
4,19516,0,0.0,,,,,,,,
5,19518,0,0.0,,,,,,,,
6,19519,0,0.0,,,,,,,,
0,19523,4,131.1,-597.66,780.03,-10.99,-2.44,-4.88,28.72,18.15,-19.25
1,19535,4,-15.87,-1001.59,165.41,89.11,11.6,9.77,5.33,45.75,5.19
2,19547,5,-136.84,-1009.77,30.76,-121.46,18.92,91.55,-1.81,38.96,15.49
3,19563,0,0.0,,,,,,,,
4,19564,0,0.0,,,,,,,,
5,19566,0,0.0,,,,,,,,
6,19568,0,0.0,,,,,,,,
0,19571,3,114.62,-604.0,781.49,-10.99,-1.83,-12.21,28.72,18.15,-19.25
1,19582,5,-21.97,-997.44,166.87,94.6,7.32,-1.83,6.16,45.72,5.63
2,19594,5,-131.35,-1050.05,-28.08,-194.09,41.5,125.73,-1.86,39.20,14.40
3,19606,0,0.0,,,,,,,,
4,19608,0,0.0,,,,,,,,
5,19609,0,0.0,,,,,,,,
6,19611,0,0.0,,,,,,,,
0,19614,5,131.1,-568.24,790.41,13.43,-6.1,-23.19,28.94,17.99,-18.16
1,19627,4,-20.02,-1016.97,165.41,57.37,11.6,17.09,6.19,45.90,4.49
2,19643,4,-135.01,-1050.66,43.82,-285.64,123.9,195.92,-1.07,41.09,14.21
3,19654,0,0.0,,,,,,,,
4,19656,0,0.0,,,,,,,,
5,19657,0,0.0,,,,,,,,
6,19659,0,0.0,,,,,,,,
0,19662,5,83.37,-545.17,833.98,89.11,32.96,-37.23,28.6,17.94,-18.42
1,19675,5,-28.2,-1042.24,166.5,43.33,14.65,31.74,6.71,45.40,3.61
2,19687,4,-65.19,-1082.52,65.8,-367.43,218.51,160.52,-0.74,41.67,12.67
3,19698,1,0.0,,,,,,,,
4,19700,0,0.0,,,,,,,,
5,19705,1,0.0,,,,,,,,
6,19707,0,0.0,,,,,,,,
0,19712,4,105.59,-601.2,845.95,258.79,187.38,-96.44,29.11,18.08,-18.76
1,19723,5,-80.57,-1276.86,147.95,-79.35,61.04,98.88,5.8,46.12,4.54
2,19735,5,-131.1,-1271.24,-53.1,-476.68,318.6,234.99,-0.4,42.43,10.52
3,19747,0,0.0,,,,,,,,
4,19748,1,0.0,,,,,,,,
5,19750,0,0.0,,,,,,,,
6,19752,0,0.0,,,,,,,,
0,19756,5,148.19,-507.81,952.03,555.42,165.41,-161.74,30.16,18.42,-17.83
1,19768,4,-5.49,-1544.07,191.89,-556.64,143.43,59.2,6.79,46.53,3.69
2,19784,4,-13.18,-1323.36,39.31,-628.66,431.52,264.28,0.99,42.82,8.25
3,19795,0,0.0,,,,,,,,
4,19798,0,0.0,,,,,,,,
5,19799,1,0.0,,,,,,,,
6,19801,0,0.0,,,,,,,,
0,19804,5,145.39,-750.85,879.39,1256.1,349.12,-252.08,30.65,20.72,-16.86
1,19816,5,-196.17,-1301.15,205.08,-920.41,265.5,-82.4,6.63,46.30,-0.52
2,19828,5,-127.44,-1137.45,154.54,-628.66,480.96,209.35,0.81,43.69,5.26
3,19841,0,0.0,,,,,,,,
4,19843,0,0.0,,,,,,,,
5,19844,0,0.0,,,,,,,,
6,19850,0,0.0,,,,,,,,
0,19853,4,363.4,-793.95,786.99,960.08,587.16,-448.0,31.42,25.48,-15.43
1,19865,4,-108.89,-621.95,-234.99,-925.9,449.83,-167.24,5.68,46.33,-5.71
2,19877,4,-58.47,-742.92,-187.87,-432.13,394.29,51.27,1.61,43.73,2.71
3,19890,0,0.0,,,,,,,,
4,19891,0,0.0,,,,,,,,
5,19893,0,0.0,,,,,,,,
6,19894,1,0.0,,,,,,,,
0,19898,4,104.61,-181.88,1187.38,239.87,351.56,-465.7,32.51,28.89,-12.94
1,19910,4,-93.99,-454.96,-798.34,5.49,704.96,-122.68,6.04,46.59,-7.53
2,19926,4,21.0,-501.34,-480.96,246.58,611.57,-91.55,1.61,43.73,2.71
3,19937,0,0.0,,,,,,,,
4,19939,0,0.0,,,,,,,,
5,19940,0,0.0,,,,,,,,
6,19942,0,0.0,,,,,,,,
0,19945,5,395.51,-107.91,1001.22,-418.7,344.85,-176.39,32.78,29.19,-12.15
1,19957,5,161.62,-726.07,-577.03,576.17,316.77,-164.79,5.25,46.79,-6.48
2,19970,5,202.51,-711.3,-388.31,748.9,171.51,-260.62,0.68,43.81,0.95
3,19982,0,0.0,,,,,,,,
4,19983,0,0.0,,,,,,,,
5,19985,0,0.0,,,,,,,,
6,19987,0,0.0,,,,,,,,
0,19994,4,325.93,-176.15,940.92,-620.73,-37.84,386.96,33.7,28.27,-13.42
1,20006,5,5.37,-953.74,-331.3,819.09,-93.38,-84.23,4.46,47.47,-3.67
2,20019,4,36.99,-837.4,-264.4,1154.79,-170.9,-352.78,-0.6,43.25,3.23
3,20030,0,0.0,,,,,,,,
4,20032,0,0.0,,,,,,,,
5,20033,1,0.0,,,,,,,,
6,20035,0,0.0,,,,,,,,
0,20038,5,279.05,-606.57,980.59,-880.74,-116.58,549.32,33.57,25.10,-12.82
1,20050,6,132.08,-1075.2,-134.77,1156.01,-230.1,-111.69,4.33,46.44,-0.37
2,20063,5,93.26,-992.55,-188.11,1445.31,-539.55,-330.81,-1.59,41.17,9.38
3,20079,0,0.0,,,,,,,,
4,20081,0,0.0,,,,,,,,
5,20082,0,0.0,,,,,,,,
6,20084,0,0.0,,,,,,,,
0,20087,5,286.74,-696.78,870.0,-938.11,-404.05,792.85,33.4,21.74,-15.25
1,20100,4,35.77,-1339.48,209.47,1113.28,-541.99,10.38,4.33,46.44,-0.37
2,20111,4,-32.59,-1231.57,-79.22,1557.01,-670.78,-261.84,-2.09,38.89,15.30
3,20123,0,0.0,,,,,,,,
4,20124,0,0.0,,,,,,,,
5,20126,0,0.0,,,,,,,,
6,20128,0,0.0,,,,,,,,
