id,t,dt,ax,ay,az,gx,gy,gz,mx,my,mz
-1,119,119,119.0,119.0,119.0,119.0,20.0,20.0,20.0,-6:47:32,04 12 2021
0,10053,4,82.15,-630.98,745.36,-14.04,-47.0,-23.19,26.18,21.78,-18.52
1,10073,4,6.71,-989.5,206.05,122.68,9.16,-4.27,8.36,46.90,4.08
2,10084,5,-53.71,-1015.5,49.68,47.0,-12.82,-18.92,-0.11,40.41,15.06
3,10096,0,0.0,,,,,,,,
4,10098,0,0.0,,,,,,,,
5,10099,0,0.0,,,,,,,,
6,10101,0,0.0,,,,,,,,
0,10104,5,129.27,-623.41,755.62,-0.61,22.58,30.52,25.16,21.48,-17.97
1,10117,4,-37.96,-994.02,207.89,96.44,4.88,-43.95,7.91,46.58,3.94
2,10129,4,-135.5,-1009.64,58.59,16.48,-28.08,-23.8,-0.94,40.47,14.82
3,10146,0,0.0,,,,,,,,
4,10147,0,0.0,,,,,,,,
5,10149,0,0.0,,,,,,,,
6,10150,1,0.0,,,,,,,,
0,10155,4,146.0,-628.3,751.34,9.16,11.6,15.26,25.57,21.31,-17.31
1,10167,4,-23.68,-989.38,208.86,100.1,11.6,0.0,8.17,47.22,2.64
2,10178,5,-77.51,-1004.27,72.75,15.26,84.23,-2.44,-0.66,40.50,13.93
3,10190,0,0.0,,,,,,,,
4,10191,0,0.0,,,,,,,,
5,10193,0,0.0,,,,,,,,
6,10195,0,0.0,,,,,,,,
0,10199,3,125.98,-627.56,750.12,19.53,18.92,20.14,25.57,21.31,-17.31
1,10210,4,-3.05,-982.3,206.42,93.99,7.93,-15.26,8.41,46.70,2.95
2,10225,5,-57.74,-990.72,76.54,20.75,44.56,-10.99,-0.67,40.88,14.10
3,10237,0,0.0,,,,,,,,
4,10238,0,0.0,,,,,,,,
5,10241,0,0.0,,,,,,,,
6,10242,1,0.0,,,,,,,,
0,10246,4,135.01,-630.37,746.83,14.65,43.95,43.95,25.67,21.39,-17.49
1,10258,4,-28.69,-970.34,209.11,100.1,0.0,-51.88,7.86,46.55,3.22
2,10269,5,-64.58,-989.75,82.15,34.79,49.44,-4.27,-0.87,41.17,14.78
3,10281,0,0.0,,,,,,,,
4,10283,0,0.0,,,,,,,,
5,10285,0,0.0,,,,,,,,
6,10290,1,0.0,,,,,,,,
0,10294,4,142.94,-629.15,749.27,-0.61,43.95,48.83,25.96,21.22,-19.09
1,10306,4,-32.1,-984.13,204.83,111.69,0.0,-60.42,8.23,46.44,4.17
2,10317,5,-85.33,-998.78,78.86,40.89,16.48,-10.99,-1.2,41.21,15.09
3,10330,0,0.0,,,,,,,,
4,10331,0,0.0,,,,,,,,
5,10333,0,0.0,,,,,,,,
6,10335,0,0.0,,,,,,,,
0,10338,4,167.97,-621.83,757.69,-0.61,42.72,48.83,25.87,21.06,-18.51
1,10350,3,-55.79,-1000.49,201.66,106.2,0.61,-48.83,8.23,46.44,4.17
2,10360,5,-120.12,-1009.4,71.9,50.66,6.1,-6.71,-1.6,41.44,13.79
3,10377,0,0.0,,,,,,,,
4,10378,0,0.0,,,,,,,,
5,10380,0,0.0,,,,,,,,
6,10382,0,0.0,,,,,,,,
0,10385,4,162.23,-621.09,759.03,4.88,32.35,32.35,26.28,20.92,-18.54
1,10397,4,-47.85,-1000.49,201.29,104.37,9.16,-20.14,7.89,46.08,3.33
