id,t,dt,ax,ay,az,gx,gy,gz,mx,my,mz
-1,119,119,119.0,119.0,119.0,119.0,20.0,20.0,20.0,-6:48:08,04 12 2021
0,5112,4,138.43,-588.5,781.86,20.14,16.48,24.41,15.31,46.34,-2.09
1,5124,5,-32.47,-992.92,149.66,92.77,10.99,-5.49,17.7,40.80,-25.74
2,5136,4,-122.56,-1000.61,-11.11,31.13,1.83,-7.93,6.25,40.56,-16.70
3,5155,0,0.0,,,,,,,,
4,5156,1,0.0,,,,,,,,
5,5158,0,0.0,,,,,,,,
6,5160,0,0.0,,,,,,,,
0,5164,4,141.85,-587.77,781.25,18.92,17.7,24.41,15.61,46.42,-2.29
1,5176,4,-32.96,-994.87,147.09,90.94,10.99,-4.88,18.35,40.69,-25.90
2,5187,5,-121.95,-1000.24,-12.82,29.91,-2.44,-8.54,6.46,41.20,-15.95
3,5199,0,0.0,,,,,,,,
4,5200,1,0.0,,,,,,,,
5,5202,0,0.0,,,,,,,,
6,5204,0,0.0,,,,,,,,
0,5208,4,142.58,-587.89,781.62,15.87,18.31,25.02,15.71,46.07,-2.04
1,5220,3,-36.87,-995.24,146.73,87.28,10.38,-6.1,18.35,40.69,-25.90
2,5236,4,-127.81,-1000.85,-14.89,32.96,-6.1,-7.93,6.03,41.80,-16.24
3,5248,0,0.0,,,,,,,,
4,5250,0,0.0,,,,,,,,
5,5251,1,0.0,,,,,,,,
6,5253,0,0.0,,,,,,,,
0,5256,5,138.92,-586.18,781.98,18.31,14.65,21.97,15.39,46.15,-3.28
1,5268,4,-31.74,-997.31,147.22,92.77,10.38,-4.27,17.42,40.31,-26.20
2,5280,4,-119.87,-1002.69,-15.87,32.35,9.16,-7.93,6.08,41.53,-15.67
3,5292,0,0.0,,,,,,,,
4,5294,0,0.0,,,,,,,,
5,5295,1,0.0,,,,,,,,
6,5301,0,0.0,,,,,,,,
0,5304,5,142.33,-585.94,782.1,18.31,18.92,24.41,15.23,46.20,-2.67
1,5316,4,-34.18,-994.14,146.61,90.33,11.6,-7.93,17.63,40.45,-26.53
2,5328,4,-126.95,-998.05,-15.5,27.47,-9.16,-5.49,5.97,41.70,-16.55
3,5340,0,0.0,,,,,,,,
4,5342,0,0.0,,,,,,,,
5,5343,0,0.0,,,,,,,,
6,5345,0,0.0,,,,,,,,
0,5348,5,141.97,-584.35,783.08,16.48,17.7,26.25,15.64,46.37,-2.82
1,5360,4,-35.77,-997.92,146.85,93.99,9.77,-9.77,17.75,40.08,-26.49
2,5372,4,-123.9,-1000.98,-14.16,25.02,5.49,-4.88,5.97,41.70,-16.55
3,5387,0,0.0,,,,,,,,
4,5388,0,0.0,,,,,,,,
5,5390,0,0.0,,,,,,,,
6,5392,0,0.0,,,,,,,,
0,5395,4,144.41,-586.91,780.76,18.92,17.7,24.41,15.77,46.18,-3.00
1,5407,4,-35.28,-992.31,147.83,89.11,11.6,-3.66,16.97,40.06,-25.44
2,5419,5,-125.61,-998.66,-14.28,27.47,4.88,-0.61,6.13,41.61,-15.67
3,5431,0,0.0,,,,,,,,
4,5432,0,0.0,,,,,,,,
5,5434,0,0.0,,,,,,,,
6,5436,0,0.0,,,,,,,,
0,5439,4,142.7,-586.67,782.35,15.26,20.14,25.63,15.34,45.72,-2.67
1,5454,5,-33.33,-996.95,147.22,92.77,9.16,-8.54,17.27,40.72,-25.60
2,5467,4,-118.04,-1001.34,-15.87,27.47,0.0,-3.05,6.03,41.30,-15.78
3,5478,1,0.0,,,,,,,,
4,5480,0,0.0,,,,,,,,
5,5482,0,0.0,,,,,,,,
6,5483,0,0.0,,,,,,,,
0,5487,4,145.51,-582.4,782.47,17.09,20.14,26.86,15.7,45.81,-2.29
1,5498,6,-39.06,-995.85,147.58,88.5,10.99,-6.71,17.48,40.19,-24.95
2,5511,4,-131.84,-1000.73,-12.7,26.86,-5.49,2.44,6.12,41.19,-15.64
3,5522,1,0.0,,,,,,,,
4,5528,0,0.0,,,,,,,,
5,5529,1,0.0,,,,,,,,
6,5531,0,0.0,,,,,,,,
0,5534,5,146.24,-585.57,781.98,16.48,17.09,23.8,15.87,46.19,-3.14
1,5547,5,-39.18,-989.75,147.46,93.99,10.99,-3.66,17.15,40.30,-25.57
2,5559,4,-118.53,-996.95,-15.63,31.13,15.26,7.93,5.4,41.30,-14.95
3,5570,0,0.0,,,,,,,,
4,5572,0,0.0,,,,,,,,
5,5573,1,0.0,,,,,,,,
6,5575,0,0.0,,,,,,,,
0,5578,5,142.58,-585.45,783.69,10.99,21.97,26.25,15.92,45.80,-2.61
1,5591,4,-37.11,-992.55,147.46,92.77,9.77,-10.99,17.66,40.52,-26.10
2,5607,4,-134.77,-1000.98,-21.0,38.45,20.14,12.21,5.82,41.43,-14.72
3,5618,0,0.0,,,,,,,,
4,5620,0,0.0,,,,,,,,
5,5621,0,0.0,,,,,,,,
6,5623,0,0.0,,,,,,,,
0,5626,6,146.97,-585.45,782.96,9.16,28.08,29.3,16.13,46.44,-1.90
1,5639,4,-36.38,-989.62,147.95,97.05,10.38,-10.38,17.2,40.30,-24.87
2,5651,4,-122.19,-997.92,-16.97,37.23,64.09,16.48,5.85,40.91,-15.20
3,5662,0,0.0,,,,,,,,
4,5664,0,0.0,,,,,,,,
5,5665,0,0.0,,,,,,,,
6,5667,0,0.0,,,,,,,,
0,5670,6,143.43,-586.55,787.11,1.22,32.96,38.45,16.02,46.07,-2.45
1,5687,4,-39.18,-998.29,145.63,98.88,6.71,-21.97,17.75,40.48,-24.95
2,5698,5,-117.8,-1013.18,-34.42,27.47,19.53,17.7,6.56,41.39,-16.09
3,5710,0,0.0,,,,,,,,
4,5712,0,0.0,,,,,,,,
5,5713,0,0.0,,,,,,,,
6,5715,0,0.0,,,,,,,,
0,5719,4,156.62,-567.26,789.79,12.82,35.4,34.79,15.72,45.87,-2.95
1,5731,4,-42.6,-1008.67,141.72,92.77,6.1,-16.48,17.94,40.81,-26.15
2,5743,4,-137.57,-1015.38,-30.03,-9.77,40.89,48.83,6.48,40.78,-14.86
3,5758,0,0.0,,,,,,,,
4,5760,1,0.0,,,,,,,,
5,5762,0,0.0,,,,,,,,
6,5764,0,0.0,,,,,,,,
0,5767,4,158.81,-577.03,784.3,28.69,28.08,25.63,16.17,46.06,-2.28
1,5779,4,-46.14,-1001.34,144.65,90.94,9.16,-6.71,17.49,40.30,-25.94
2,5790,5,-108.76,-1020.26,-22.09,-22.58,63.48,64.7,6.57,41.54,-15.76
3,5803,0,0.0,,,,,,,,
4,5804,1,0.0,,,,,,,,
5,5806,0,0.0,,,,,,,,
6,5808,0,0.0,,,,,,,,
0,5811,4,167.24,-576.66,783.08,39.67,23.8,18.92,16.58,46.09,-2.62
1,5823,3,-46.88,-994.51,145.75,70.8,14.65,0.61,17.49,40.30,-25.94
2,5837,5,-101.07,-1006.35,-5.98,-50.05,59.2,78.12,6.85,41.81,-16.05
3,5850,0,0.0,,,,,,,,
